"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
2005.64, 460366.694468, 4466709.483350, 75.000000, 0.000000e+00
2005.64, 467449.245659, 4466675.468092, 79.000000, 0.000000e+00
2005.64, 473105.087656, 4466653.098512, 82.000000, 0.000000e+00
2005.64, 478769.415940, 4466634.961645, 84.000000, 0.000000e+00
2005.64, 484433.739510, 4466621.094218, 88.000000, 0.000000e+00
2005.64, 491507.770085, 4466609.770957, 90.000000, 0.000000e+00
2005.64, 497172.087648, 4466605.504818, 90.000000, 0.000000e+00
2005.61, 443118.436559, 4472370.496669, 68.000000, 5.851043e-04
2005.61, 457836.827129, 4471407.516338, 69.000000, 1.135754e-03
2005.64, 461822.578678, 4474105.714151, 69.000000, 0.000000e+00
2005.64, 467481.335730, 4474079.034409, 73.000000, 0.000000e+00
2005.64, 473131.601784, 4474056.656276, 77.000000, 0.000000e+00
2005.64, 478790.345843, 4474038.512474, 79.000000, 0.000000e+00
2005.64, 484449.085259, 4474024.639743, 82.000000, 0.000000e+00
2005.61, 420316.652667, 4481381.434823, 70.000000, 0.000000e+00
2005.64, 491516.141991, 4474013.312153, 84.000000, 0.000000e+00
2005.64, 497174.875489, 4474009.044382, 84.000000, 0.000000e+00
2005.62, 467385.560311, 4481305.640536, 66.500000, 0.000000e+00
2005.64, 473158.112656, 4481449.199482, 71.000000, 0.000000e+00
2005.64, 481633.613897, 4481423.586201, 75.000000, 0.000000e+00
2005.64, 463284.764485, 4483344.895427, 62.000000, 0.000000e+00
2005.64, 484464.429123, 4481417.170903, 79.000000, 0.000000e+00
2005.61, 436412.775403, 4486200.513017, 66.000000, 5.930730e-04
2005.64, 491524.512868, 4481405.839050, 77.000000, 0.000000e+00
2005.64, 497177.662988, 4481401.569673, 79.000000, 0.000000e+00
2005.57, 508373.371179, 4481772.023093, 74.000000, 0.000000e+00
2005.64, 460474.200645, 4487055.656186, 59.000000, 0.000000e+00
2005.64, 467537.539525, 4487021.605629, 57.000000, 0.000000e+00
2005.61, 492880.210849, 4485450.375656, 78.000000, 0.000000e+00
2005.64, 484475.962400, 4486967.175324, 71.000000, 0.000000e+00
2005.61, 447951.986700, 4490107.438441, 64.000000, 0.000000e+00
2005.64, 471779.159113, 4488858.111178, 59.000000, 0.000000e+00
2005.64, 490116.448999, 4486957.578533, 77.000000, 0.000000e+00
2005.61, 457029.331793, 4490382.640156, 58.000000, 0.000000e+00
2005.64, 477418.254221, 4488838.915659, 66.000000, 0.000000e+00
2005.61, 420287.124796, 4494481.589160, 58.000000, 0.000000e+00
2005.61, 472671.052169, 4489631.809910, 56.000000, 1.087055e-03
2005.61, 426291.785814, 4494985.928981, 59.000000, 0.000000e+00
2005.57, 512662.426701, 4486384.569830, 70.000000, 0.000000e+00
2005.64, 497180.458512, 4488805.280500, 73.000000, 0.000000e+00
2005.61, 440923.089407, 4495221.837137, 59.000000, 0.000000e+00
2005.64, 460513.421360, 4494459.469497, 55.000000, 0.000000e+00
2005.64, 467569.751151, 4494425.406441, 55.000000, 0.000000e+00
2005.61, 419773.715833, 4499449.578130, 54.000000, 0.000000e+00
2005.64, 473204.654220, 4494403.005426, 62.000000, 0.000000e+00
2005.64, 477435.058173, 4494388.989242, 60.000000, 0.000000e+00
2005.61, 479467.303542, 4494982.525508, 56.000000, 0.000000e+00
2005.57, 558170.107938, 4485645.719184, 95.000000, 5.666912e-04
2005.61, 463322.103403, 4496099.086212, 51.000000, 0.000000e+00
2005.57, 518368.756962, 4490792.087126, 67.000000, 9.941518e-04
2005.64, 483078.412980, 4494374.031869, 75.000000, 0.000000e+00
2005.64, 490126.256026, 4494361.355840, 77.000000, 4.212835e-03
2005.64, 497182.556625, 4494355.344845, 69.000000, 3.211622e-03
2005.61, 450390.969229, 4499104.636536, 51.000000, 0.000000e+00
2005.64, 460552.695834, 4501863.368015, 57.000000, 1.116053e-03
2005.57, 560767.266641, 4490251.081030, 93.000000, 0.000000e+00
2005.64, 466190.455141, 4501835.580443, 49.000000, 0.000000e+00
2005.61, 439794.131202, 4504167.283572, 48.000000, 0.000000e+00
2005.64, 473231.305264, 4501806.883530, 51.000000, 0.000000e+00
2005.57, 487961.424329, 4500292.080015, 70.000000, 0.000000e+00
2005.64, 478869.050457, 4501788.714608, 59.000000, 2.461330e-03
2005.64, 497184.656893, 4499905.457387, 69.000000, 4.428320e-03
2005.57, 506992.714208, 4498997.989680, 66.000000, 5.048635e-03
2005.64, 484506.791271, 4501774.822670, 59.000000, 0.000000e+00
2005.64, 490136.076496, 4501765.218885, 69.000000, 2.156856e-03
2005.57, 487662.645055, 4503644.873916, 70.000000, 3.371835e-03
2005.64, 488735.775735, 4503609.867747, 69.000000, 0.000000e+00
2005.57, 526861.920663, 4499398.421104, 62.000000, 2.095640e-03
2005.64, 473244.624449, 4505503.304461, 57.000000, 0.000000e+00
2005.64, 495774.860114, 4503602.527809, 77.000000, 0.000000e+00
2005.57, 541247.511804, 4498853.756266, 63.000000, 3.853225e-03
2005.57, 504715.171568, 4503736.026863, 68.000000, 1.232794e-02
2005.57, 495446.068491, 4504857.062021, 77.000000, 0.000000e+00
2005.57, 478131.699858, 4506852.658766, 56.000000, 3.605227e-03
2005.64, 473251.307460, 4507357.073138, 51.000000, 1.128551e-03
2005.64, 460591.965011, 4509256.251281, 48.000000, 0.000000e+00
2005.57, 518405.238357, 4503413.222921, 65.000000, 1.070833e-03
2005.57, 473501.995073, 4508965.757925, 48.000000, 5.602762e-04
2005.64, 484518.368069, 4507325.003705, 69.000000, 2.068020e-02
2005.64, 467634.258358, 4509222.163798, 48.000000, 0.000000e+00
2005.57, 560403.129343, 4499650.709683, 79.000000, 1.138679e-03
2005.64, 478890.085604, 4509181.571338, 64.000000, 2.196876e-03
2005.57, 484843.266518, 4509255.815096, 69.000000, 0.000000e+00
2005.64, 490145.895643, 4509158.067262, 73.000000, 9.102385e-03
2005.57, 477285.385283, 4511828.251868, 54.000000, 3.884033e-02
2005.64, 497188.160722, 4509152.051956, 68.000000, 1.095264e-03
2005.57, 507422.653941, 4508744.517935, 67.000000, 1.622721e-02
2005.64, 473271.330121, 4512907.310829, 59.000000, 0.000000e+00
2005.57, 487464.620500, 4511471.017909, 67.000000, 0.000000e+00
2005.57, 518181.652358, 4508441.178713, 64.000000, 3.792615e-03
2005.64, 487340.391174, 4512869.895179, 69.000000, 0.000000e+00
2005.57, 638046.196662, 4494423.695670, 104.000000, 1.083498e-02
2005.64, 460631.346765, 4516660.320179, 48.000000, 0.000000e+00
2005.64, 466257.864922, 4516632.512989, 46.000000, 0.000000e+00
2005.64, 485934.455537, 4514715.125255, 62.000000, 2.833242e-02
2005.57, 498185.731113, 4513980.447986, 74.000000, 1.274365e-02
2005.64, 491562.361984, 4514706.569384, 71.000000, 2.783730e-02
2005.64, 474693.412028, 4516598.841908, 60.000000, 5.963575e-02
2005.57, 577743.744738, 4504752.047800, 80.000000, 3.070722e-03
2005.64, 495781.181231, 4514702.962136, 79.000000, 0.000000e+00
2005.64, 478911.181056, 4516585.614064, 57.000000, 6.814530e-02
2005.57, 486234.937661, 4517489.710150, 65.000000, 1.514824e-02
2005.64, 485941.504070, 4518422.715424, 69.000000, 0.000000e+00
2005.57, 627808.132747, 4501036.727234, 92.000000, 3.813705e-03
2005.57, 604015.658870, 4505539.945243, 77.000000, 6.532372e-03
2005.57, 585423.110438, 4509354.991860, 75.000000, 1.368868e-02
2005.57, 485045.038734, 4521343.951719, 62.000000, 1.081655e-02
2005.57, 526560.413817, 4517457.994749, 61.000000, 0.000000e+00
2005.57, 513224.129961, 4522828.143588, 68.000000, 1.833117e-02
2005.57, 646058.223083, 4505026.554996, 94.000000, 0.000000e+00
2005.57, 613319.643318, 4514425.692483, 75.000000, 6.232647e-03
2005.59, 504511.859489, 4532208.918763, 71.000000, 2.116225e-01
2005.59, 508009.236740, 4536219.313081, 70.000000, 1.327108e-01
2005.59, 471177.728418, 4540789.620908, 46.000000, 6.563411e-03
2005.57, 479857.094043, 4541637.657602, 59.000000, 1.273009e+00
2005.59, 525706.222491, 4537436.611927, 68.000000, 0.000000e+00
2005.59, 490936.869419, 4541204.871310, 78.000000, 1.583370e-02
2005.59, 501588.800411, 4542076.426213, 83.000000, 4.703811e-02
2005.57, 653548.769958, 4523758.200440, 90.000000, 0.000000e+00
2005.57, 479792.630647, 4545700.849003, 56.000000, 2.146994e+00
2005.59, 518192.533866, 4541621.462052, 62.000000, 2.293904e-03
2005.59, 484942.905469, 4545544.143369, 53.000000, 4.853785e-02
2005.57, 681762.610607, 4520666.619955, 104.000000, 5.724525e-04
2005.57, 597010.596998, 4532491.604280, 59.000000, 0.000000e+00
2005.59, 468139.831493, 4549860.843591, 44.000000, 1.637804e-02
2005.59, 527293.230066, 4544980.029091, 59.000000, 3.281112e-03
2005.59, 510072.656061, 4546856.629318, 71.000000, 2.296491e-03
2005.59, 482676.781553, 4550167.239675, 57.000000, 2.362620e-03
2005.57, 681796.079743, 4525133.067042, 97.000000, 0.000000e+00
2005.57, 610310.786446, 4536098.892351, 63.000000, 4.386732e-03
2005.57, 669865.666122, 4529380.678680, 86.000000, 1.112233e-03
2005.57, 617667.056220, 4538189.503389, 66.000000, 0.000000e+00
2005.57, 476841.794819, 4555800.648125, 51.000000, 9.532778e-03
2005.59, 493463.494944, 4555555.942483, 101.000000, 0.000000e+00
2005.59, 531776.779620, 4551658.907728, 59.000000, 2.084734e-03
2005.57, 633076.384963, 4538097.094694, 71.000000, 5.439765e-03
2005.59, 510170.550062, 4554993.933338, 91.000000, 5.690508e-04
2005.59, 468242.209463, 4559885.026712, 49.000000, 6.812026e-01
2005.57, 648780.736360, 4538098.454510, 75.000000, 2.209297e-03
2005.57, 476378.439327, 4560409.220671, 54.000000, 0.000000e+00
2005.57, 683800.529533, 4534036.456505, 89.000000, 1.096578e-03
2005.57, 659969.624898, 4538366.859005, 76.000000, 1.424249e-02
2005.59, 484981.207032, 4560086.698853, 86.000000, 1.665635e-03
2005.59, 529330.481595, 4556633.228527, 62.000000, 1.581782e-02
2005.59, 507396.559665, 4559708.645207, 99.000000, 0.000000e+00
2005.59, 518931.053660, 4558352.883521, 72.000000, 4.581247e-03
2005.57, 678685.956103, 4538242.791006, 78.000000, 6.741420e-02
2005.72, 644307.434459, 4543873.182527, 68.000000, 0.000000e+00
2005.56, 474073.783187, 4565501.549041, 61.000000, 5.798585e-03
2005.59, 533268.084011, 4559714.131781, 61.000000, 3.233545e-02
2005.59, 534987.420185, 4559688.868983, 61.000000, 1.503499e-02
2005.72, 652713.912944, 4544043.408605, 68.000000, 7.684292e-04
2005.72, 675169.916024, 4542701.423517, 71.000000, 1.830138e-03
2005.72, 662515.949204, 4544254.069689, 68.000000, 0.000000e+00
2005.57, 670271.784386, 4543130.414673, 70.000000, 6.085663e-03
2005.57, 680613.773619, 4542355.728551, 72.000000, 3.119100e-02
2005.57, 674886.746116, 4543638.876406, 73.000000, 2.171585e-03
2005.59, 478407.794856, 4568917.790970, 82.000000, 0.000000e+00
2005.56, 470721.294665, 4569510.851012, 62.000000, 3.142211e-03
2005.72, 670922.572997, 4544445.184909, 68.000000, 0.000000e+00
2005.57, 622315.986036, 4551046.851894, 57.000000, 0.000000e+00
2005.57, 706502.607412, 4539294.155540, 106.000000, 5.156815e-03
2005.72, 663878.402673, 4546139.336848, 68.000000, 0.000000e+00
2005.59, 527957.896794, 4564509.921514, 62.000000, 0.000000e+00
2005.59, 536964.438955, 4563428.779299, 63.000000, 3.277435e-03
2005.72, 679329.269496, 4544645.946437, 69.000000, 3.854295e-02
2005.57, 687993.189061, 4543685.338806, 78.000000, 9.935223e-02
2005.59, 533119.437245, 4564742.489629, 62.000000, 1.790081e-02
2005.57, 664178.757588, 4547745.543154, 70.000000, 2.316429e-03
2005.57, 691937.498743, 4543754.154903, 75.000000, 3.839608e-01
2005.59, 509741.669786, 4568226.181265, 102.000000, 1.084009e-03
2005.72, 644161.638992, 4551278.062646, 60.000000, 0.000000e+00
2005.59, 470989.251177, 4573695.126983, 64.000000, 7.095830e-03
2005.72, 652559.617978, 4551448.343964, 60.000000, 0.000000e+00
2005.59, 474229.506282, 4573971.553678, 84.000000, 1.684051e-03
2005.72, 676440.537334, 4548286.117582, 69.000000, 0.000000e+00
2005.59, 484623.721554, 4573453.641511, 107.000000, 1.647129e-03
2005.72, 660957.660834, 4551628.271718, 64.000000, 0.000000e+00
2005.57, 708997.360361, 4544242.621916, 101.000000, 1.713273e-03
2005.72, 669355.771053, 4551817.847238, 66.000000, 3.723802e-03
2005.59, 533567.951561, 4569251.837317, 67.000000, 2.865005e-02
2005.56, 462601.431772, 4578418.485329, 29.000000, 2.421780e-03
2005.59, 471275.200180, 4578267.930464, 59.000000, 1.685144e-02
2005.72, 679148.057280, 4552051.077153, 71.000000, 2.867235e-03
2005.64, 652394.019375, 4556770.591881, 60.000000, 2.779381e-04
2005.57, 655668.351917, 4556178.768858, 64.000000, 1.716826e-03
2005.59, 524300.050628, 4573178.264919, 83.000000, 7.692732e-03
2005.59, 526600.076824, 4573708.102877, 80.000000, 0.000000e+00
2005.73, 644015.647293, 4558683.021077, 53.000000, 0.000000e+00
2005.72, 687546.325357, 4552261.554635, 69.000000, 8.771222e-04
2005.72, 652405.115358, 4558853.356712, 59.000000, 7.368615e-04
2005.57, 697705.634246, 4552629.060227, 84.000000, 3.009150e-01
2005.72, 681861.089288, 4555817.356243, 71.000000, 0.000000e+00
2005.59, 548621.207964, 4573910.938950, 59.000000, 0.000000e+00
2005.57, 641492.752237, 4561110.348156, 54.000000, 0.000000e+00
2005.59, 542158.143210, 4574114.796071, 64.000000, 5.682800e-04
