"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
2001.54, 435994.164990, 4475880.245287, 74.000000, 0.000000e+00
2001.54, 418838.426221, 4481086.485848, 72.000000, 1.649978e-03
2001.54, 466942.763142, 4477000.717641, 71.000000, 1.703488e-03
2001.54, 451583.942420, 4480947.208088, 67.000000, 3.888443e-01
2001.54, 510721.284902, 4481553.020686, 75.000000, 0.000000e+00
2001.54, 447952.197907, 4491350.721086, 65.000000, 4.792180e-03
2001.6, 549613.131556, 4481942.998327, 94.000000, 5.761705e-04
2001.6, 522504.368385, 4486418.842912, 70.000000, 0.000000e+00
2001.54, 498560.941364, 4490603.102191, 72.000000, 6.067637e-01
2001.54, 467554.521878, 4494813.987780, 52.000000, 1.287480e-02
2001.54, 422086.183171, 4499813.553011, 55.000000, 0.000000e+00
2001.6, 552467.630955, 4485814.402283, 95.000000, 0.000000e+00
2001.54, 436135.594722, 4500301.297687, 56.000000, 0.000000e+00
2001.54, 449899.489839, 4500206.915993, 51.000000, 0.000000e+00
2001.6, 555111.849017, 4490240.454074, 93.000000, 5.546030e-04
2001.54, 485660.421833, 4499519.139262, 71.000000, 1.251663e+00
2001.54, 433405.528094, 4505121.039871, 51.000000, 0.000000e+00
2001.6, 569525.490105, 4490749.422373, 96.000000, 8.346447e-03
2001.6, 530553.803671, 4496027.033095, 61.000000, 3.084400e-02
2001.6, 535180.925070, 4496036.359419, 65.000000, 3.871610e-03
2001.54, 510155.003138, 4499057.136239, 66.000000, 1.051498e-01
2001.6, 521210.536717, 4500556.796801, 63.000000, 3.035410e-02
2001.6, 597092.833820, 4491412.649241, 96.000000, 0.000000e+00
2001.6, 569407.316880, 4495255.444316, 94.000000, 0.000000e+00
2001.6, 605822.825176, 4492552.889376, 96.000000, 2.376574e-03
2001.6, 583643.880617, 4495590.468196, 89.000000, 0.000000e+00
2001.54, 489620.629862, 4507915.533766, 65.000000, 1.989880e-01
2001.6, 524213.702023, 4505117.161019, 67.000000, 4.678635e-03
2001.6, 532549.911926, 4505737.364380, 59.000000, 5.608470e-04
2001.54, 472519.615019, 4512754.652723, 51.000000, 2.061615e-02
2001.6, 595160.689172, 4498837.399935, 85.000000, 1.202031e-03
2001.6, 516128.671626, 4508847.147535, 67.000000, 2.178338e-02
2001.6, 627039.959551, 4496493.104729, 96.000000, 2.860363e-03
2001.54, 476570.811242, 4515415.984575, 60.000000, 5.820355e-02
2001.54, 508170.156571, 4512419.560883, 68.000000, 3.098510e-01
2001.54, 478321.864852, 4516986.942142, 59.000000, 4.028748e-01
2001.54, 483829.460799, 4516739.736095, 64.000000, 1.392027e-01
2001.6, 608814.514910, 4501012.043510, 77.000000, 4.137170e-02
2001.6, 515801.518101, 4515739.883069, 66.000000, 5.455620e-02
2001.54, 489627.108104, 4518560.933167, 70.000000, 4.381625e-01
2001.54, 502488.158282, 4517510.618647, 74.000000, 3.079690e-02
2001.6, 529947.314410, 4514240.613596, 54.000000, 6.717362e-04
2001.6, 519729.661436, 4516970.386887, 65.000000, 8.328645e-03
2001.6, 647604.142016, 4500403.935439, 104.000000, 0.000000e+00
2001.54, 479039.083198, 4523012.569123, 58.000000, 2.052498e-01
2001.6, 608158.118375, 4510073.725504, 71.000000, 6.059372e-01
2001.6, 586025.119572, 4513514.184409, 72.000000, 2.306853e-03
2001.6, 525656.176956, 4527656.458486, 65.000000, 0.000000e+00
2001.54, 480009.768712, 4535953.505292, 70.000000, 1.391271e-01
2001.6, 597255.941113, 4522824.126167, 67.000000, 1.138118e-03
2001.6, 632229.970779, 4518170.692643, 87.000000, 5.748892e-04
2001.54, 491133.487715, 4536930.756619, 75.000000, 1.163153e-01
2001.54, 473688.629958, 4539925.403066, 50.000000, 3.325193e-01
2001.6, 508413.140090, 4536153.158737, 66.000000, 2.760550e-02
2001.55, 475439.869388, 4540574.302183, 54.000000, 3.760419e-01
2001.6, 622931.227377, 4523251.440428, 78.000000, 2.462144e-02
2001.6, 653718.298234, 4519663.519585, 95.000000, 5.920090e-04
2001.55, 488382.192340, 4541941.138676, 70.000000, 1.596597e-02
2001.55, 483667.097461, 4542383.061123, 58.000000, 4.101674e-03
2001.62, 504438.949795, 4541422.637648, 80.000000, 0.000000e+00
2001.6, 625032.059364, 4527650.765581, 76.000000, 6.610995e-02
2001.62, 496075.148702, 4543786.861799, 83.000000, 5.451415e-02
2001.55, 487688.383443, 4544284.593820, 70.000000, 1.027794e-03
2001.62, 482867.797839, 4545670.812816, 62.000000, 2.302532e-02
2001.55, 484407.466911, 4546633.174114, 57.000000, 1.647201e-02
2001.6, 602797.589643, 4532914.360889, 57.000000, 2.185488e-03
2001.6, 661356.802062, 4524602.278328, 91.000000, 0.000000e+00
2001.54, 476609.954719, 4548896.368085, 57.000000, 2.005970e+00
2001.62, 507099.733422, 4545831.844491, 80.000000, 1.759402e-02
2001.6, 644757.035522, 4528711.386793, 85.000000, 1.149877e-03
2001.55, 474355.984928, 4550402.590889, 55.000000, 1.879554e-01
2001.62, 518693.437140, 4546296.293582, 67.000000, 1.067059e-01
2001.6, 630618.844446, 4532422.785308, 75.000000, 1.035847e-01
2001.62, 488782.054202, 4550532.774737, 94.000000, 5.216470e-03
2001.6, 658552.710512, 4529117.464359, 86.000000, 0.000000e+00
2001.62, 503904.206404, 4550980.365167, 88.000000, 0.000000e+00
2001.62, 482192.195300, 4554620.008816, 63.000000, 0.000000e+00
2001.61, 672547.370378, 4530398.265779, 88.000000, 0.000000e+00
2001.61, 680580.893239, 4529635.494993, 93.000000, 0.000000e+00
