"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2012.5, 551019.875530, 4199387.930694, 57.572620, 0.000000e+00
2012.5, 551115.987352, 4200327.184080, 56.660452, 0.000000e+00
2012.5, 551154.463987, 4180353.659035, 66.291601, 0.000000e+00
2012.5, 551214.913009, 4180323.684147, 66.741534, 2.285777e-01
2012.5, 551249.071540, 4220948.405445, 43.286991, 0.000000e+00
2012.5, 551312.779664, 4263387.727978, 43.582127, 0.000000e+00
2012.5, 551379.872788, 4200043.005985, 57.362293, 0.000000e+00
2012.5, 551406.087587, 4241068.091816, 39.661130, 0.000000e+00
2012.5, 551453.315522, 4200083.528777, 57.271392, 6.605302e-01
2012.5, 551491.843530, 4241006.424821, 40.315886, 0.000000e+00
2012.5, 551606.045318, 4199975.793039, 57.598726, 0.000000e+00
2012.5, 551822.221920, 4200700.062931, 56.975980, 1.461077e-01
2012.5, 551839.609506, 4220528.803666, 42.778352, 0.000000e+00
2012.5, 551927.464457, 4262988.546565, 44.563554, 1.154945e-01
2012.5, 551957.190357, 4240675.942745, 42.387216, 0.000000e+00
2012.5, 552078.115957, 4240590.209182, 42.689686, 0.000000e+00
2012.5, 552141.864824, 4199598.158565, 58.436085, 0.000000e+00
2012.5, 552219.081023, 4199543.961359, 58.588583, 1.170960e-01
2012.5, 552271.181484, 4201293.650416, 57.021511, 0.000000e+00
2012.5, 552412.115920, 4220060.843111, 41.689061, 0.000000e+00
2012.5, 552573.696537, 4262551.448485, 43.921199, 0.000000e+00
2012.5, 552704.579781, 4201878.104023, 57.234894, 0.000000e+00
2012.5, 552902.670276, 4199058.891493, 59.363531, 0.000000e+00
2012.5, 552982.625185, 4219585.376996, 41.147766, 0.000000e+00
2012.5, 553104.457897, 4262150.788975, 42.808527, 0.000000e+00
2012.5, 553124.714153, 4202445.902622, 57.504026, 1.502132e-01
2012.5, 553465.374295, 4181982.951532, 63.548359, 0.000000e+00
2012.5, 553481.543000, 4198648.092442, 60.352162, 0.000000e+00
2012.5, 553555.399665, 4203052.108530, 57.508865, 1.413512e-01
2012.5, 553566.296036, 4182122.197396, 63.669569, 1.482480e+00
2012.5, 553602.996156, 4219071.507765, 41.612902, 0.000000e+00
2012.5, 553677.114729, 4261727.978159, 44.424621, 0.000000e+00
2012.5, 553861.323837, 4198380.843916, 61.237010, 0.000000e+00
2012.5, 553938.858815, 4182637.073714, 63.237955, 8.741259e-01
2012.5, 553954.537397, 4182664.202862, 63.240834, 0.000000e+00
2012.5, 554015.233245, 4198270.836217, 61.550943, 0.000000e+00
2012.5, 554031.195759, 4203456.649883, 57.637461, 2.320196e-01
2012.5, 554148.564325, 4218616.648466, 40.319500, 0.000000e+00
2012.5, 554287.252524, 4183127.214738, 63.732802, 0.000000e+00
2012.5, 554359.477330, 4183229.225594, 63.956146, 6.423983e-01
2012.5, 554369.230803, 4261214.010833, 43.539712, 0.000000e+00
2012.5, 554537.808273, 4197892.490211, 61.470694, 0.000000e+00
