"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
1996.62, 439135.933189, 4466851.444825, 73.000000, 0.000000e+00
1996.62, 426524.418724, 4479919.131072, 72.000000, 0.000000e+00
1996.65, 548113.718497, 4468612.736264, 109.000000, 0.000000e+00
1996.62, 430831.719993, 4487271.422470, 68.000000, 0.000000e+00
1996.65, 501415.406240, 4481401.171120, 76.000000, 0.000000e+00
1996.65, 523999.163351, 4485146.978272, 71.000000, 5.957322e-04
1996.62, 426688.144924, 4496569.526847, 58.000000, 0.000000e+00
1996.62, 419681.839799, 4500338.713309, 52.000000, 0.000000e+00
1996.65, 543760.421164, 4487079.274166, 88.000000, 0.000000e+00
1996.65, 560713.943537, 4485355.136892, 98.000000, 6.750302e-04
1996.62, 433775.712334, 4500199.827691, 55.000000, 0.000000e+00
1996.65, 498587.047926, 4494354.946034, 69.000000, 7.974955e-03
1996.62, 456315.591675, 4500033.243377, 50.000000, 0.000000e+00
1996.62, 467593.926753, 4499975.538008, 42.000000, 0.000000e+00
1996.65, 518334.540542, 4494377.375597, 65.000000, 6.631635e-04
1996.62, 438033.841961, 4503859.827129, 52.000000, 0.000000e+00
1996.65, 567720.246344, 4490965.936833, 95.000000, 5.391472e-03
1996.65, 536660.660964, 4494445.025456, 67.000000, 0.000000e+00
1996.65, 547935.488683, 4496362.871738, 76.000000, 0.000000e+00
1996.65, 508452.376372, 4501763.479396, 65.000000, 0.000000e+00
1996.65, 532406.073247, 4499975.538008, 63.000000, 0.000000e+00
1996.65, 574734.624945, 4494729.721537, 93.000000, 1.204141e-02
1996.65, 509861.477341, 4503607.872791, 67.000000, 0.000000e+00
1996.62, 474668.097398, 4509194.794548, 55.000000, 4.138437e-03
1996.62, 484522.214185, 4509167.674462, 69.000000, 4.267315e-01
1996.65, 597275.887068, 4496844.109258, 86.000000, 1.800118e-03
1996.65, 509856.553024, 4507315.397352, 61.000000, 0.000000e+00
1996.65, 615635.329794, 4495252.418778, 96.000000, 5.607395e-02
1996.65, 580318.160201, 4500338.713309, 86.000000, 3.000197e-03
1996.65, 616981.773763, 4498970.894546, 86.000000, 1.260082e-02
1996.65, 642423.670231, 4495716.536238, 110.000000, 3.642372e-03
1996.65, 501409.085445, 4514701.893857, 72.000000, 0.000000e+00
1996.65, 522508.792798, 4512893.282122, 64.000000, 0.000000e+00
1996.62, 474699.755569, 4518452.642281, 57.000000, 1.183535e-03
1996.65, 636720.500453, 4499307.493698, 96.000000, 3.075022e-02
1996.65, 581648.647305, 4507758.184836, 77.000000, 5.974475e-04
1996.65, 591474.257905, 4509715.843934, 76.000000, 2.702568e-03
1996.65, 616836.062777, 4508228.973911, 81.000000, 1.625068e-03
1996.65, 515450.710328, 4522122.021834, 70.000000, 0.000000e+00
1996.65, 609717.997351, 4513671.921971, 70.000000, 2.024520e-02
1996.65, 505618.041965, 4527658.350929, 74.000000, 7.560620e-03
1996.65, 649183.029125, 4510652.621746, 96.000000, 7.426717e-02
1996.63, 525268.570459, 4527699.523133, 67.000000, 5.823165e-04
1996.65, 633628.908191, 4514064.862528, 91.000000, 0.000000e+00
1996.62, 487375.239844, 4533217.442756, 65.000000, 1.320059e-02
1996.65, 609635.707435, 4519222.407276, 70.000000, 1.329869e-03
1996.65, 613852.578438, 4519286.160326, 74.000000, 1.789766e-03
1996.63, 518243.167980, 4531375.375267, 70.000000, 7.145365e-03
1996.65, 596936.646060, 4522742.206500, 65.000000, 0.000000e+00
1996.65, 591291.286485, 4524524.386493, 65.000000, 0.000000e+00
1996.65, 664579.630083, 4514688.222910, 100.000000, 2.239441e-02
1996.62, 476180.037333, 4540649.570887, 55.000000, 6.081096e-02
1996.62, 484588.077300, 4540627.102189, 48.000000, 1.275477e-03
1996.62, 487387.952965, 4540621.757639, 70.000000, 2.195656e-02
1996.65, 630654.789224, 4523261.950206, 84.000000, 6.508768e-03
1996.63, 502799.171018, 4542454.222537, 82.000000, 4.701259e-01
1996.65, 594011.647194, 4531953.054864, 58.000000, 0.000000e+00
1996.63, 522424.227423, 4540645.174408, 67.000000, 1.261355e-02
1996.62, 469191.050057, 4546226.205892, 44.000000, 1.141414e-03
1996.62, 484599.736832, 4546177.620769, 58.000000, 5.745067e-03
1996.62, 487397.494304, 4546172.274906, 70.000000, 1.819281e-02
1996.63, 500000.000000, 4546161.437636, 95.000000, 1.719304e-01
1996.62, 472011.346644, 4549911.622803, 50.000000, 2.244570e-03
1996.62, 476210.069654, 4549896.770777, 55.000000, 1.549053e-01
1996.63, 506998.590728, 4546164.779794, 78.000000, 2.396803e-02
1996.63, 518206.423040, 4546184.055722, 67.000000, 1.263399e-01
1996.65, 607983.081678, 4535853.364744, 60.000000, 1.777838e-03
1996.62, 481807.374989, 4551734.624135, 55.000000, 1.491589e-02
1996.63, 502796.343952, 4549858.641360, 92.000000, 1.401478e-02
1996.65, 667055.235009, 4529549.681850, 87.000000, 3.258643e-03
1996.63, 491606.812958, 4553559.616254, 105.000000, 4.701137e-03
1996.65, 623384.756058, 4537939.060170, 67.000000, 8.918910e-03
1996.63, 519586.246591, 4551738.222998, 70.000000, 4.737495e-02
1996.65, 672587.109457, 4533376.118185, 83.000000, 8.388420e-03
1996.65, 638805.266550, 4538214.195663, 73.000000, 4.651163e-02
1996.63, 465052.118645, 4559189.107423, 41.000000, 0.000000e+00
1996.62, 472046.738991, 4559158.962430, 51.000000, 1.213913e-01
1996.62, 474839.552683, 4559148.799022, 50.000000, 0.000000e+00
1996.63, 526574.497959, 4555457.031562, 63.000000, 7.714982e-03
1996.65, 619028.131967, 4547128.259225, 61.000000, 0.000000e+00
1996.63, 502791.388488, 4562813.805915, 101.000000, 3.499676e-02
1996.63, 484638.671397, 4564672.297128, 92.000000, 1.056334e-03
1996.65, 680869.939721, 4539129.381295, 77.000000, 6.034220e-02
1996.63, 467885.962679, 4566580.864385, 52.000000, 0.000000e+00
1996.65, 627430.183606, 4547269.585680, 63.000000, 0.000000e+00
1996.63, 473465.921143, 4566558.389622, 63.000000, 1.151752e-03
1996.63, 505589.745858, 4564658.245649, 105.000000, 1.094812e-03
1996.65, 686387.337664, 4542977.801115, 79.000000, 2.706092e-02
1996.64, 707514.682157, 4539833.791584, 108.000000, 6.064705e-03
1996.65, 651195.446623, 4549565.221841, 64.000000, 1.187486e-03
1996.63, 516752.327264, 4568383.264007, 98.000000, 0.000000e+00
1996.63, 470705.786812, 4573973.808749, 69.000000, 1.464145e-02
1996.63, 473492.925847, 4573963.102669, 83.000000, 9.096422e-03
1996.63, 523729.677976, 4568402.673534, 75.000000, 5.402787e-04
1996.65, 666550.794533, 4551753.455885, 68.000000, 8.079635e-03
1996.63, 462355.167885, 4577709.232882, 30.000000, 2.526942e-03
1996.63, 537683.229277, 4570304.461962, 62.000000, 0.000000e+00
1996.65, 646846.614375, 4556884.644448, 58.000000, 3.552293e-03
1996.63, 472131.956882, 4581362.004684, 62.000000, 5.526089e-02
1996.64, 700143.875536, 4552595.369704, 88.000000, 2.135343e-01
1996.63, 546033.818414, 4574060.611534, 62.000000, 2.686237e-03
1996.63, 467959.525847, 4583233.278518, 45.000000, 8.861556e-01
1996.63, 465185.363300, 4586943.065335, 42.000000, 4.602648e-01
1996.63, 467975.886824, 4586930.173267, 55.000000, 8.857744e-01
1996.63, 537635.210406, 4579563.214408, 74.000000, 1.193177e-02
1996.64, 695795.904033, 4558032.908643, 82.000000, 2.096096e-02
1996.65, 655041.510085, 4566306.226505, 59.000000, 5.923308e-04
1996.63, 537616.015012, 4583260.091791, 85.000000, 5.362440e-03
1996.63, 465212.092246, 4592494.001329, 53.000000, 5.227070e-01
1996.65, 654962.538704, 4570014.360785, 56.000000, 6.599993e-04
1996.63, 452713.705944, 4596273.251870, 40.000000, 6.607711e-02
1996.64, 711026.335691, 4564013.184957, 96.000000, 1.416028e-01
1996.63, 469402.040317, 4596183.147484, 79.000000, 3.224619e-01
1996.64, 677303.528212, 4570524.645097, 70.000000, 5.930197e-03
1996.63, 530621.496954, 4590632.183433, 100.000000, 0.000000e+00
1996.64, 702537.799642, 4567472.429457, 88.000000, 6.546740e-02
1996.63, 461077.847844, 4599920.347326, 62.000000, 2.220067e-01
1996.64, 691211.092286, 4572721.301778, 76.000000, 7.165933e-03
1996.63, 462480.269080, 4601767.002987, 70.000000, 3.452693e-02
1996.64, 717790.048859, 4571624.419275, 96.000000, 6.542977e-02
1996.63, 454166.077716, 4605512.292642, 66.000000, 3.175162e-01
1996.64, 650467.014440, 4584725.709069, 50.000000, 0.000000e+00
1996.63, 447251.430713, 4609256.926628, 68.000000, 1.103906e+00
1996.63, 440320.282083, 4611165.381670, 54.000000, 3.440496e-01
1996.63, 461127.854168, 4609168.428250, 110.000000, 0.000000e+00
1996.63, 443101.521197, 4611142.798661, 65.000000, 2.484744e-01
1996.64, 668582.471297, 4585124.874808, 65.000000, 1.075888e-03
1996.63, 543058.877269, 4605495.141535, 103.000000, 0.000000e+00
1996.64, 704805.975563, 4586059.106780, 90.000000, 5.410785e-03
1996.64, 665620.613234, 4592465.844878, 62.000000, 0.000000e+00
1996.64, 692167.715176, 4589412.417043, 80.000000, 6.581400e-03
1996.64, 680890.596119, 4594676.384163, 70.000000, 1.329869e-03
1996.63, 433538.599358, 4627880.115889, 100.000000, 0.000000e+00
1996.63, 555487.586647, 4614829.050772, 58.000000, 0.000000e+00
1996.64, 680797.628452, 4598384.751966, 71.000000, 6.652900e-04
1996.64, 652779.818414, 4606989.336909, 51.000000, 6.582542e-04
1996.64, 675096.621181, 4603798.772363, 65.000000, 0.000000e+00
1996.63, 592940.280125, 4615216.707145, 27.000000, 0.000000e+00
1996.63, 429439.651909, 4633471.326674, 57.000000, 8.323307e-03
1996.63, 560983.280343, 4620425.300611, 59.000000, 0.000000e+00
1996.64, 663897.342745, 4607234.197751, 60.000000, 0.000000e+00
1996.64, 676398.434803, 4607530.082369, 66.000000, 0.000000e+00
1996.63, 429494.629576, 4639022.715844, 63.000000, 1.043109e-03
1996.64, 609529.421282, 4619160.096471, 36.000000, 0.000000e+00
1996.64, 649811.490912, 4616179.564006, 51.000000, 0.000000e+00
1996.63, 426770.535342, 4642747.875343, 55.000000, 0.000000e+00
1996.63, 566444.141054, 4629734.256117, 105.000000, 1.355204e-03
1996.64, 606668.199360, 4624669.491985, 37.000000, 0.000000e+00
1996.63, 429549.661211, 4644574.152457, 70.000000, 0.000000e+00
1996.63, 569209.900004, 4629760.541852, 94.000000, 0.000000e+00
1996.64, 672009.616503, 4616677.875486, 64.000000, 0.000000e+00
1996.63, 578902.536224, 4629861.121934, 62.000000, 1.398919e-03
1996.64, 621912.808299, 4624913.227894, 53.000000, 0.000000e+00
1996.63, 585821.124081, 4629940.969157, 50.000000, 0.000000e+00
1996.63, 426827.760641, 4648299.348826, 65.000000, 1.044010e-03
1996.63, 433728.351802, 4648231.538320, 108.000000, 0.000000e+00
1996.63, 576097.310985, 4633528.285535, 99.000000, 0.000000e+00
1996.64, 641305.423177, 4625270.288097, 57.000000, 4.511900e-04
1996.64, 663559.475467, 4622034.510239, 62.000000, 0.000000e+00
1996.64, 588549.294875, 4633672.094173, 58.000000, 5.920490e-04
1996.64, 694149.601721, 4619099.038866, 66.000000, 0.000000e+00
1996.64, 582990.708265, 4635459.628388, 75.000000, 1.790624e-03
1996.64, 657930.251250, 4625618.296858, 58.000000, 2.605015e-02
1996.64, 624583.913636, 4630512.429048, 35.000000, 0.000000e+00
1996.64, 695438.295570, 4622834.280547, 66.000000, 0.000000e+00
1996.64, 585709.811413, 4639189.611366, 86.000000, 3.800092e-03
1996.64, 685636.026825, 4626284.251131, 62.000000, 0.000000e+00
1996.64, 591195.066678, 4642955.687289, 100.000000, 0.000000e+00
1996.64, 678572.699844, 4631659.419199, 70.000000, 0.000000e+00
1996.64, 595340.356228, 4643010.086136, 67.000000, 1.724323e-02
1996.64, 629955.096092, 4639860.165432, 60.000000, 2.711748e-02
1996.64, 672942.807224, 4635220.321198, 64.000000, 0.000000e+00
1996.64, 682631.042931, 4635462.044846, 62.000000, 0.000000e+00
1996.64, 603576.866979, 4646834.566262, 60.000000, 2.370450e-03
1996.64, 664555.588260, 4638721.098958, 62.000000, 2.372709e-03
1996.64, 690932.939834, 4635679.668894, 68.000000, 1.077285e-03
1996.64, 700621.335396, 4635945.881961, 78.000000, 0.000000e+00
1996.64, 646469.112757, 4643879.951746, 57.000000, 4.593870e-03
1996.64, 607635.730993, 4652447.815914, 84.000000, 1.410233e-02
1996.64, 613158.380125, 4652533.855710, 64.000000, 0.000000e+00
1996.64, 604851.268632, 4654249.606566, 106.000000, 0.000000e+00
1996.64, 620055.504527, 4652647.355633, 50.000000, 7.077660e-03
1996.64, 654638.996485, 4649607.405427, 55.000000, 2.542183e-02
1996.64, 667065.650422, 4649889.212298, 61.000000, 5.370157e-04
1996.64, 654558.119628, 4653315.978451, 55.000000, 1.280209e-03
1996.64, 618579.742547, 4658175.728420, 97.000000, 7.238853e-03
1996.64, 637926.056972, 4656671.531328, 50.000000, 1.188348e-01
1996.64, 626853.139079, 4658319.264044, 59.000000, 2.250856e-02
1996.64, 646201.721430, 4656837.657095, 46.000000, 3.539098e-01
1996.64, 693244.036343, 4652409.899620, 74.000000, 8.385940e-03
1996.64, 643325.065291, 4662332.873124, 55.000000, 3.380069e-03
1996.64, 654356.181913, 4662565.288365, 55.000000, 4.532430e+00
1996.64, 657109.839621, 4662625.993725, 56.000000, 4.977389e+00
1996.64, 641878.063898, 4666002.663874, 108.000000, 8.239015e-03
1996.64, 648762.684913, 4666144.448930, 88.000000, 1.272243e+01
1996.64, 645972.109431, 4667941.279693, 115.000000, 7.086178e-03
