xUTM,yUTM,Depth,Latitude,Longitude,GamPredict,Gam1Var,Gam2Var,Gam1Predict,Gam2Predict,FinalPredict,KrigeVar,Region
518803,4124040,49,37.2628,-74.7879,0.564507363,1.14E-15,0.24544569,1,0.564507363,1.984792651,0.014975123,DMV
520655,4124040,55.5894,37.2627,-74.7671,0.427371725,1.46E-15,0.191067413,1,0.427371725,1.503772481,0.014906378,DMV
522507,4124040,58.8074,37.2627,-74.7462,0.334696227,1.00E-15,0.178969303,1,0.334696227,1.173909224,0.014840145,DMV
524359,4124040,59.309,37.2626,-74.7253,0.246596151,1.16E-15,0.16057799,1,0.246596151,0.860255182,0.014730802,DMV
526211,4124040,73.085,37.2626,-74.7044,0.103528696,1.49E-15,0.080528458,1,0.103528696,0.358003238,0.01448404,DMV
528063,4124040,81.9529,37.2625,-74.6835,0.027654428,1.70E-15,0.027747216,1,0.027654428,0.09176973,0.014534522,DMV
529915,4124040,86.9795,37.2625,-74.6626,0.011537763,3.19E-15,0.014711699,1,0.011537763,0.036035506,0.014903383,DMV
531767,4124040,90.0138,37.2624,-74.6417,0.006017221,6.02E-15,0.008958812,1,0.006017221,0.016199267,0.015154346,DMV
518803,4125890,49.554,37.2794,-74.7879,0.764969915,1.19E-15,0.273077131,1,0.764969915,2.699528872,0.014739562,DMV
533619,4124040,91.2322,37.2623,-74.6209,0.000280227,1.775417651,0.006301883,0.070784407,0.003958875,0,0.015376178,DMV
520655,4125890,50.1853,37.2794,-74.767,0.608633376,1.19E-15,0.251590994,1,0.608633376,2.142753098,0.014774789,DMV
535471,4124040,92,37.2623,-74.6,6.34E-19,5.34E-15,0.004755021,2.22E-16,0.002853551,0,0.015589862,DMV
522507,4125890,58.4524,37.2794,-74.7461,0.419180297,9.65E-16,0.200514977,1,0.419180297,1.475727672,0.014744695,DMV
537323,4124040,92.0943,37.2622,-74.5791,5.13E-19,5.12E-15,0.003909206,2.22E-16,0.002309855,0,0.015797116,DMV
524359,4125890,58.4469,37.2793,-74.7252,0.292268825,1.09E-15,0.170145466,1,0.292268825,1.025919946,0.014674018,DMV
539175,4124040,99.9747,37.2621,-74.5582,1.86E-19,2.88E-15,0.002089995,2.22E-16,0.000835768,0,0.015995424,DMV
526211,4125890,65.7457,37.2793,-74.7043,0.209542357,1.44E-15,0.141857565,1,0.209542357,0.730189248,0.01460129,DMV
528063,4125890,77.4378,37.2792,-74.6834,0.048238235,1.37E-15,0.040149994,1,0.048238235,0.168703024,0.014638251,DMV
529915,4125890,84.2454,37.2792,-74.6626,0.016259269,1.81E-15,0.017685356,1,0.016259269,0.054500384,0.014810083,DMV
531767,4125890,87.7403,37.2791,-74.6417,0.008008191,4.08E-15,0.010446321,1,0.008008191,0.023748446,0.015032315,DMV
533619,4125890,91.7739,37.279,-74.6208,8.61E-19,5.96E-15,0.006252541,2.22E-16,0.003879575,0,0.015264209,DMV
520655,4127750,52.4361,37.2961,-74.767,0.725805611,1.09E-15,0.249446939,1,0.725805611,2.557138434,0.014647139,DMV
535471,4125890,93.4506,37.279,-74.5999,5.61E-19,3.10E-15,0.004467182,2.22E-16,0.002526115,0,0.015488264,DMV
522507,4127750,54.5858,37.2961,-74.7461,0.502596852,1.21E-15,0.21280089,1,0.502596852,1.771072514,0.014627252,DMV
537323,4125890,92.692,37.2789,-74.579,4.98E-19,4.52E-15,0.003848358,2.22E-16,0.00224071,0,0.015700074,DMV
524359,4127750,57.2924,37.296,-74.7252,0.334012159,1.10E-15,0.171407165,1,0.334012159,1.17581716,0.014567226,DMV
539175,4125890,96.6994,37.2788,-74.5581,2.76E-19,4.64E-15,0.002625298,2.22E-16,0.001241311,0,0.015899578,DMV
526211,4127750,61.2235,37.296,-74.7043,0.225777211,1.19E-15,0.135452264,1,0.225777211,0.790771864,0.01451342,DMV
528063,4127750,73.9471,37.2959,-74.6834,0.075781891,1.49E-15,0.055370401,1,0.075781891,0.265883565,0.014507477,DMV
529915,4127750,81.0023,37.2958,-74.6625,0.02338403,1.47E-15,0.021270292,1,0.02338403,0.079442009,0.014612342,DMV
531767,4127750,86.7874,37.2958,-74.6416,0.009103069,3.19E-15,0.011067665,1,0.009103069,0.027229076,0.014859657,DMV
533619,4127750,90.5985,37.2957,-74.6207,0.004517617,6.51E-15,0.006754172,1,0.004517617,0.010013129,0.015129624,DMV
520655,4129600,52,37.3128,-74.7669,0.848959728,9.03E-16,0.260517073,1,0.848959728,2.985238617,0.01455088,DMV
535471,4127750,93.5509,37.2957,-74.5998,5.70E-19,3.12E-15,0.004518082,2.22E-16,0.002567784,0,0.015374312,DMV
522507,4129600,52,37.3128,-74.746,0.595022736,9.32E-16,0.222724823,1,0.595022736,2.093818027,0.01448088,DMV
537323,4127750,95.683,37.2956,-74.5789,3.71E-19,3.88E-15,0.003308198,2.22E-16,0.001670315,0,0.01559553,DMV
524359,4129600,59,37.3127,-74.7251,0.375365145,8.13E-16,0.168682433,1,0.375365145,1.320897759,0.014385694,DMV
539175,4127750,94.5806,37.2955,-74.558,3.59E-19,1.69E-15,0.00305336,2.22E-16,0.00161821,0,0.015799265,DMV
