"decmal year", "latitude", "longitude", "bottom depth(m)","recruits per m^2"
1980.45, 41.1, -69.3667, 41, 6.136715e-04
1980.44, 41.5, -69.4333, 53, 3.034399e-04
1980.44, 41.6833, -69.7833, 46, 0.000000e+00
1980.44, 41.9333, -69.8833, 48, 0.000000e+00
1980.45, 41.1667, -69.3167, 49, 7.072162e-01
1980.45, 41.05, -69.2167, 56, 6.782243e-01
1980.44, 41.05, -69.1667, 58, 9.463665e-03
1980.44, 41.3, -69.3333, 67, 0.000000e+00
1980.44, 41.5167, -69.4167, 58, 0.000000e+00
1980.44, 41.55, -69.4333, 64, 0.000000e+00
1980.44, 41.6667, -69.7167, 57, 0.000000e+00
1980.44, 41.7833, -69.8333, 70, 0.000000e+00
1980.44, 41.95, -69.85, 65, 0.000000e+00
1980.44, 41.0333, -69.0667, 77, 0.000000e+00
1980.44, 41.1167, -69.15, 77, 0.000000e+00
1980.44, 41.5167, -69.35, 82, 0.000000e+00
1980.44, 42.0167, -69.85, 98, 0.000000e+00
1980.44, 41.1, -68.9667, 91, 0.000000e+00
1980.44, 41.1, -68.6167, 59, 6.815017e-04
1980.44, 41.1667, -68.5833, 57, 8.397526e-03
1980.44, 41.25, -68.65, 61, 1.818998e-03
1980.44, 41.1, -68.7167, 62, 1.819828e-03
1980.44, 40.5667, -68.8333, 66, 0.000000e+00
1980.44, 40.55, -68.7833, 65, 0.000000e+00
1980.44, 40.65, -68.6833, 59, 0.000000e+00
1980.44, 40.6167, -68.6333, 59, 0.000000e+00
1980.44, 40.7333, -68.7333, 63, 0.000000e+00
1980.44, 40.6833, -68.7833, 63, 4.649831e-04
1980.44, 40.8167, -68.8167, 70, 0.000000e+00
1980.44, 40.9, -68.8167, 70, 2.332539e-03
1980.44, 40.9333, -68.8333, 64, 7.210605e-03
1980.44, 40.9667, -68.7167, 59, 0.000000e+00
1980.44, 40.4167, -68.8167, 77, 0.000000e+00
1980.44, 40.5667, -68.55, 70, 0.000000e+00
1980.44, 40.7167, -68.3833, 56, 0.000000e+00
1980.44, 40.4667, -68.4167, 91, 2.139132e-03
1980.44, 40.4333, -68.3833, 95, 0.000000e+00
1980.44, 40.7333, -67.85, 70, 2.603340e-03
1980.44, 41.15, -67.35, 57, 0.000000e+00
1980.44, 40.9333, -67.4833, 71, 3.764798e-02
1980.44, 40.85, -67.6, 71, 6.393054e-03
1980.44, 40.9, -67.7167, 63, 2.122942e-03
1980.44, 40.8833, -67.7833, 62, 9.902372e-03
1980.44, 40.9333, -67.85, 55, 0.000000e+00
1980.44, 40.8333, -67.9667, 61, 2.356592e-04
1980.44, 40.7667, -67.5333, 83, 4.285484e-03
1980.44, 40.9333, -67.4167, 72, 1.918378e-02
1980.44, 40.6167, -67.25, 104, 7.214916e-04
1980.44, 40.75, -67.05, 95, 0.000000e+00
1980.44, 40.7667, -66.9667, 101, 0.000000e+00
1980.44, 40.8, -67.05, 91, 0.000000e+00
1980.44, 40.8167, -67.2, 91, 2.389966e-04
1980.44, 40.95, -67.0833, 78, 2.066377e-02
1980.44, 41.0333, -67.2833, 67, 2.835963e-03
1980.44, 41.0667, -67.3, 64, 0.000000e+00
1981.48, 40.9333, -70.9167, 52, 2.379149e-04
1981.48, 40.9667, -70.8167, 50, 0.000000e+00
1981.48, 40.8833, -70.75, 52, 0.000000e+00
1981.49, 40.5333, -70.8, 71, 0.000000e+00
1981.49, 40.35, -70.6667, 91, 0.000000e+00
1981.48, 40.9833, -70.4, 38, 5.015938e-04
1981.48, 41.0667, -70.3167, 34, 2.502927e-04
1981.48, 40.9167, -70.3833, 39, 0.000000e+00
1981.48, 40.8667, -70.6667, 51, 4.388156e-04
1981.49, 40.6167, -70.1, 51, 0.000000e+00
1981.49, 40.7167, -70.6667, 58, 0.000000e+00
1981.49, 40.5167, -70.2667, 60, 0.000000e+00
1981.49, 40.35, -70.2667, 83, 0.000000e+00
1981.49, 40.1667, -70.05, 103, 0.000000e+00
1981.49, 40.8333, -69.7667, 35, 0.000000e+00
1981.49, 40.85, -69.5333, 41, 0.000000e+00
1981.49, 40.6333, -69.6167, 54, 0.000000e+00
1981.49, 40.85, -69.2667, 52, 0.000000e+00
1981.49, 40.9833, -69.2, 64, 1.080218e-02
1981.49, 40.9167, -69.1167, 66, 2.577317e-02
1981.49, 40.7667, -68.9167, 68, 0.000000e+00
1981.49, 40.5167, -68.9, 73, 4.576296e-04
1981.49, 40.45, -69.8333, 71, 0.000000e+00
1981.49, 40.55, -69.9333, 59, 0.000000e+00
1981.49, 40.4, -69.6, 64, 0.000000e+00
1981.49, 40.75, -69.2667, 57, 2.870892e-03
1981.49, 40.45, -69.4167, 65, 2.279767e-04
1981.49, 40.4833, -69.25, 71, 0.000000e+00
1981.49, 40.6, -69.25, 55, 0.000000e+00
1981.49, 40.6333, -69.3167, 48, 0.000000e+00
1981.49, 40.3, -69.8667, 78, 0.000000e+00
1981.49, 40.2667, -69.4167, 75, 0.000000e+00
1981.49, 40.4333, -69.3167, 72, 0.000000e+00
1981.5, 41.1167, -69.3833, 38, 0.000000e+00
1981.5, 41.35, -69.3833, 36, 0.000000e+00
1981.5, 41.4833, -69.45, 43, 0.000000e+00
1981.5, 41.55, -69.6, 44, 1.229077e-03
1981.5, 41.75, -69.8667, 29, 3.356249e-03
1981.49, 41.0167, -69.1833, 60, 5.479761e-03
1981.5, 41.0833, -69.3167, 47, 4.841525e-03
1981.5, 41.5167, -69.4667, 50, 3.030170e-04
1981.5, 41.6, -69.6333, 54, 6.435919e-02
1981.5, 41.8833, -69.8667, 50, 0.000000e+00
1981.49, 41, -69.1667, 60, 1.130592e-02
1981.5, 41.0833, -69.1667, 60, 3.055655e-04
1981.5, 41.2833, -69.35, 50, 1.824845e-03
1981.5, 41.4333, -69.35, 66, 6.680104e-02
1981.5, 41.55, -69.4833, 55, 0.000000e+00
1981.5, 41.6167, -69.6333, 61, 1.742540e-02
1981.5, 41.7167, -69.8, 59, 0.000000e+00
1981.5, 42, -69.9167, 63, 0.000000e+00
1981.49, 41.0167, -69.1, 72, 6.105579e-03
1981.5, 41.1, -69.15, 83, 0.000000e+00
1981.5, 41.5, -69.3833, 66, 1.217697e-03
1981.5, 42, -69.8333, 102, 0.000000e+00
1981.5, 41.1, -68.9833, 93, 0.000000e+00
1981.5, 41.5833, -68.5, 103, 2.366123e-04
1981.5, 41.4167, -68.55, 87, 0.000000e+00
1981.5, 41.3667, -68.7167, 107, 1.896503e-03
1981.5, 41.1833, -68.9333, 104, 4.734495e-04
1981.5, 41.1, -68.95, 94, 0.000000e+00
1981.5, 41.35, -68.4333, 70, 0.000000e+00
1981.5, 41.3833, -68.35, 61, 1.818998e-03
1981.5, 41.5, -68.4167, 54, 1.359901e-03
1981.5, 41.5833, -68.4333, 54, 0.000000e+00
1981.5, 41.1833, -68.65, 62, 1.364871e-03
1981.5, 41.2333, -68.55, 64, 0.000000e+00
1981.49, 40.8, -68.8, 65, 0.000000e+00
1981.49, 40.7167, -68.8333, 65, 0.000000e+00
1981.49, 40.6333, -68.8167, 64, 0.000000e+00
1981.49, 40.4833, -68.8167, 74, 0.000000e+00
1981.49, 40.55, -68.7833, 69, 0.000000e+00
1981.49, 40.5833, -68.6833, 63, 0.000000e+00
1981.49, 40.6333, -68.6333, 61, 0.000000e+00
1981.49, 40.6167, -68.5333, 61, 0.000000e+00
1981.49, 40.55, -68.6, 67, 0.000000e+00
1981.49, 40.5, -68.6167, 71, 0.000000e+00
1981.49, 40.4667, -68.5333, 87, 2.653916e-04
1981.5, 40.7667, -68.2, 56, 0.000000e+00
1981.49, 40.4, -68.4667, 98, 0.000000e+00
1981.49, 40.6333, -68.2333, 81, 0.000000e+00
1981.49, 40.7333, -67.8167, 72, 0.000000e+00
1981.49, 40.75, -67.6833, 67, 0.000000e+00
1981.49, 41.0833, -67.3667, 62, 0.000000e+00
1981.49, 40.9667, -67.4167, 72, 1.421354e-03
1981.49, 41.0167, -67.4333, 65, 0.000000e+00
1981.49, 41.0167, -67.5333, 62, 4.715415e-04
1981.5, 40.9167, -67.65, 63, 7.076474e-04
1981.5, 40.7833, -67.9, 68, 4.728850e-04
1981.49, 40.6, -67.9667, 91, 0.000000e+00
1981.49, 40.5667, -67.8667, 94, 1.675389e-03
1981.49, 40.7, -67.85, 78, 2.375147e-04
1981.49, 40.75, -67.5667, 78, 4.750293e-04
1981.49, 40.6333, -67.5667, 85, 0.000000e+00
1981.49, 40.6333, -67.2, 107, 0.000000e+00
1981.49, 40.7833, -67.0667, 95, 0.000000e+00
1981.49, 40.95, -67.1667, 81, 7.135650e-04
1981.49, 41.0167, -67.2667, 70, 0.000000e+00
1982.44, 40.3167, -70.9833, 94, 0.000000e+00
1982.54, 41.0833, -70.7333, 39, 0.000000e+00
1982.54, 41.2, -70.5, 31, 0.000000e+00
1982.54, 41.1167, -70.2667, 25, 0.000000e+00
1982.54, 40.8667, -70.6833, 49, 1.068500e-03
1982.54, 40.85, -70.4833, 50, 0.000000e+00
1982.54, 40.8333, -70.3667, 46, 0.000000e+00
1982.54, 40.7167, -70.5333, 53, 0.000000e+00
1982.54, 40.6, -70.45, 58, 0.000000e+00
1982.54, 40.3833, -70.2333, 75, 0.000000e+00
1982.54, 40.2333, -70.3, 97, 0.000000e+00
1982.54, 40.8667, -69.7667, 34, 0.000000e+00
1982.54, 40.8833, -69.6333, 34, 0.000000e+00
1982.54, 40.6333, -69.55, 51, 0.000000e+00
1982.54, 40.65, -69.7333, 50, 0.000000e+00
1982.54, 40.65, -69.8167, 51, 0.000000e+00
1982.54, 40.8833, -69.25, 49, 0.000000e+00
1982.54, 40.5833, -68.9167, 64, 0.000000e+00
1982.55, 40.7333, -68.9, 64, 0.000000e+00
1982.55, 40.9667, -69.1, 72, 3.647739e-02
1982.54, 40.35, -69.5833, 67, 0.000000e+00
1982.54, 40.55, -69.9667, 57, 0.000000e+00
1982.54, 40.7833, -69.2667, 55, 7.330947e-03
1982.54, 40.7667, -69.1333, 65, 4.752212e-04
1982.54, 40.7, -69.1167, 57, 0.000000e+00
1982.54, 40.6333, -69.0333, 65, 1.506243e-03
1982.54, 40.45, -69.4667, 61, 0.000000e+00
1982.54, 40.6833, -69.4333, 43, 0.000000e+00
1982.54, 40.3, -69.9667, 83, 0.000000e+00
1982.54, 40.4167, -68.85, 76, 0.000000e+00
1982.55, 40.9, -69.05, 75, 6.915568e-03
1982.55, 41.0167, -69.3667, 42, 0.000000e+00
1982.56, 41.3667, -69.3833, 35, 1.810573e-02
1982.56, 41.4167, -69.45, 34, 8.546307e-03
1982.56, 41.45, -69.4833, 35, 0.000000e+00
