"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2017.5, 378465.489877, 4723064.956698, 47.249498, 3.975926e-01
2017.5, 378667.848882, 4722540.793210, 46.781774, 0.000000e+00
2017.5, 378785.506808, 4696837.832966, 31.466940, 0.000000e+00
2017.5, 378790.153573, 4696129.483587, 32.305463, 0.000000e+00
2017.5, 378980.723649, 4721476.264692, 47.639795, 2.327475e-01
2017.5, 379063.451077, 4697516.283993, 33.686815, 0.000000e+00
2017.5, 379076.967165, 4723480.824919, 46.313809, 1.385882e-01
2017.5, 379289.139944, 4721080.893866, 49.038610, 2.229216e-01
2017.5, 379341.554124, 4722472.942370, 45.127769, 2.967407e-01
2017.5, 379360.091855, 4695674.569995, 32.967583, 0.000000e+00
2017.5, 379441.114066, 4698082.133783, 40.923437, 0.000000e+00
2017.5, 379492.839714, 4721962.391098, 46.507324, 2.896227e-01
2017.5, 379507.063257, 4721217.282668, 47.090000, 0.000000e+00
2017.5, 379676.593717, 4695481.488993, 34.009306, 0.000000e+00
2017.5, 379694.961498, 4696195.130360, 31.437935, 0.000000e+00
2017.5, 379729.465579, 4696948.728088, 31.868049, 0.000000e+00
2017.5, 379737.079468, 4723870.629642, 45.461678, 7.205832e-01
2017.5, 379771.779695, 4697730.870870, 35.018367, 5.920902e-02
2017.5, 379816.853944, 4694786.827630, 41.170571, 0.000000e+00
2017.5, 379973.635070, 4695285.724631, 33.946846, 0.000000e+00
2017.5, 380017.414117, 4721172.306065, 48.704192, 7.801715e-02
2017.5, 380052.187138, 4722553.580533, 45.127196, 0.000000e+00
2017.5, 380070.674606, 4721359.968439, 49.771366, 0.000000e+00
2017.5, 380130.118988, 4722392.438223, 46.577963, 2.275380e-01
2017.5, 380365.543865, 4724217.240108, 44.446353, 1.427190e-01
2017.5, 380508.400271, 4694638.499805, 40.342600, 4.729306e-02
2017.5, 380646.312226, 4722891.463645, 44.105509, 3.314460e-01
2017.5, 380664.745974, 4695127.497687, 33.811063, 0.000000e+00
2017.5, 380672.611722, 4721455.493448, 52.617703, 0.000000e+00
2017.5, 380725.167345, 4695211.476117, 32.914138, 0.000000e+00
2017.5, 380760.790014, 4695949.295392, 31.263104, 1.170657e-01
2017.5, 380774.106445, 4722753.238419, 45.792721, 2.704824e-01
2017.5, 380787.814290, 4696711.197755, 32.560577, 1.068817e-01
2017.5, 380793.246533, 4697443.804294, 34.378792, 0.000000e+00
2017.5, 380805.835615, 4721339.893003, 48.658035, 2.631840e-01
2017.5, 381028.434575, 4698081.112930, 39.510855, 0.000000e+00
2017.5, 381063.875404, 4724504.219445, 44.434064, 1.212816e-01
2017.5, 381151.411759, 4695379.227270, 31.287641, 0.000000e+00
2017.5, 381265.636471, 4695360.389810, 30.841860, 0.000000e+00
