xUTM,yUTM,Depth,Latitude,Longitude,Zone,GamPredict,GamVar,KrigePredict,KrigeVar,FinalPredict
518803,4055520,-59.5032,36.645,-74.7896,NA,NA,NA,NA,NA,NA
520655,4055520,-76.4203,36.645,-74.7689,NA,NA,NA,NA,NA,NA
522507,4055520,-88.2717,36.645,-74.7482,NA,NA,NA,NA,NA,NA
524359,4055520,-98.1553,36.6449,-74.7275,NA,NA,NA,NA,NA,NA
526211,4055520,-150,36.6449,-74.7068,NA,NA,NA,NA,NA,NA
515099,4057370,-52.0325,36.6618,-74.831,NA,NA,NA,NA,NA,NA
516951,4057370,-53.1012,36.6618,-74.8103,NA,NA,NA,NA,NA,NA
518803,4057370,-57.9926,36.6617,-74.7896,NA,NA,NA,NA,NA,NA
520655,4057370,-72.5365,36.6617,-74.7689,VIR,0.02175094,0.016458881,-0.001740008,9.97E-05,68635.5752
522507,4057370,-84.9427,36.6617,-74.7482,VIR,0.002175786,0.001980817,-0.001718165,9.99E-05,1569.596478
524359,4057370,-91.892,36.6616,-74.7274,VIR,0.000560047,0.000594665,-0.001683255,0.000100639,0
526211,4057370,-126.919,36.6616,-74.7067,NA,NA,NA,NA,NA,NA
513247,4059220,-47,36.6785,-74.8517,NA,NA,NA,NA,NA,NA
528063,4057370,-150,36.6615,-74.686,NA,NA,NA,NA,NA,NA
515099,4059220,-50,36.6785,-74.831,NA,NA,NA,NA,NA,NA
516951,4059220,-55.3337,36.6785,-74.8103,VIR,0.029833706,0.018080185,-0.001453611,9.65E-05,97341.00164
518803,4059220,-59.0021,36.6784,-74.7896,VIR,0.044664193,0.026284235,-0.001456206,9.59E-05,148199.2507
520655,4059220,-66.9752,36.6784,-74.7688,VIR,0.047102836,0.03007695,-0.00195079,9.57E-05,154867.1818
522507,4059220,-83.6189,36.6784,-74.7481,VIR,0.00272673,0.002445696,-0.001926825,9.60E-05,2743.596085
524359,4059220,-89.9097,36.6783,-74.7274,VIR,0.000822709,0.000806305,-0.001888966,9.68E-05,0
526211,4059220,-108.117,36.6783,-74.7066,VIR,4.53E-05,0.000100994,-0.00183998,9.80E-05,0
513247,4061070,-45,36.6952,-74.8517,NA,NA,NA,NA,NA,NA
528063,4059220,-150,36.6782,-74.6859,NA,NA,NA,NA,NA,NA
515099,4061070,-48.7409,36.6952,-74.831,VIR,0.027787317,0.019304834,-0.00167242,9.38E-05,89571.58847
516951,4061070,-54.0836,36.6952,-74.8102,VIR,0.026851236,0.016287469,-0.001692009,9.27E-05,86293.73309
518803,4061070,-59.0117,36.6951,-74.7895,VIR,0.043919792,0.025521454,-0.001694371,9.20E-05,144829.14
520655,4061070,-67.6563,36.6951,-74.7688,VIR,0.043274162,0.027883994,-0.002170487,9.19E-05,140981.6566
522507,4061070,-82.9376,36.6951,-74.748,VIR,0.003040755,0.002705042,-0.002144102,9.23E-05,3075.431245
524359,4061070,-88.9444,36.695,-74.7273,VIR,0.000983301,0.000936373,-0.002102853,9.31E-05,0
526211,4061070,-100.123,36.695,-74.7066,VIR,0.000135045,0.000225465,-0.002049821,9.44E-05,0
513247,4062930,-46.9019,36.7119,-74.8517,NA,NA,NA,NA,NA,NA
528063,4061070,-143.534,36.6949,-74.6859,NA,NA,NA,NA,NA,NA
515099,4062930,-47.4782,36.7119,-74.8309,VIR,0.02970498,0.02122209,-0.001918392,9.01E-05,95305.33083
516951,4062930,-56.0179,36.7119,-74.8102,VIR,0.030647709,0.018035144,-0.001938801,8.89E-05,98468.79954
518803,4062930,-60,36.7118,-74.7895,VIR,0.04734437,0.027170942,-0.001940888,8.84E-05,155729.5862
520655,4062930,-67.0085,36.7118,-74.7687,VIR,0.045328665,0.028300434,-0.002398465,8.83E-05,147246.4639
522507,4062930,-81.6439,36.7118,-74.748,VIR,0.003818749,0.003316731,-0.00236969,8.87E-05,4970.133288
524359,4062930,-86.9586,36.7117,-74.7273,VIR,0.001421636,0.001300065,-0.002324847,8.96E-05,0
526211,4062930,-96.5088,36.7117,-74.7065,VIR,0.000231693,0.00031794,-0.002266939,9.09E-05,0
513247,4064780,-45.1058,36.7286,-74.8516,NA,NA,NA,NA,NA,NA
528063,4062930,-110.414,36.7116,-74.6858,NA,NA,NA,NA,NA,NA
515099,4064780,-49.0534,36.7286,-74.8309,VIR,0.026313729,0.017743481,-0.002172163,8.65E-05,82803.25519
516951,4064780,-53.8518,36.7286,-74.8102,VIR,0.025581563,0.015200264,-0.002193431,8.54E-05,80219.04558
518803,4064780,-61.3718,36.7285,-74.7894,VIR,0.049958422,0.028614102,-0.002195075,8.48E-05,163823.6943
520655,4064780,-66.0686,36.7285,-74.7687,VIR,0.047661553,0.028800488,-0.002634335,8.48E-05,154439.0361
522507,4064780,-80.9899,36.7284,-74.7479,VIR,0.004251619,0.003626646,-0.002601223,8.53E-05,5660.696924
524359,4064780,-86.6383,36.7284,-74.7272,VIR,0.001482574,0.001344314,-0.002553841,8.62E-05,0
526211,4064780,-94.19,36.7284,-74.7065,VIR,0.000336799,0.000397761,-0.002491272,8.77E-05,0
513247,4066630,-45.6734,36.7453,-74.8516,NA,NA,NA,NA,NA,NA
528063,4064780,-103.938,36.7283,-74.6857,NA,NA,NA,NA,NA,NA
515099,4066630,-51.0341,36.7453,-74.8309,VIR,0.024032093,0.0149816,-0.002433155,8.32E-05,74082.28597
516951,4066630,-54.4525,36.7453,-74.8101,VIR,0.025970749,0.015152391,-0.002455218,8.21E-05,80656.0124
518803,4066630,-63.7121,36.7452,-74.7894,VIR,0.049999387,0.028832112,-0.002456214,8.15E-05,163068.5187
520655,4066630,-67.7146,36.7452,-74.7686,VIR,0.040763852,0.025436473,-0.00287715,8.15E-05,129947.7531
522507,4066630,-79.6798,36.7451,-74.7479,VIR,0.005367158,0.004448805,-0.002841106,8.21E-05,8664.115709
524359,4066630,-87.3416,36.7451,-74.7271,VIR,0.001276181,0.001164979,-0.00278927,8.31E-05,0
526211,4066630,-92.6314,36.745,-74.7064,VIR,0.000442839,0.000478741,-0.002719961,8.47E-05,0
513247,4068480,-44.6176,36.762,-74.8516,NA,NA,NA,NA,NA,NA
528063,4066630,-100.889,36.745,-74.6856,NA,NA,NA,NA,NA,NA
515099,4068480,-49.3758,36.762,-74.8308,VIR,0.024944196,0.016292947,-0.002700676,8.00E-05,76293.14052
516951,4068480,-53.0812,36.762,-74.8101,VIR,0.02393535,0.014058782,-0.002723157,7.90E-05,72755.78752
518803,4068480,-62.7234,36.7619,-74.7893,VIR,0.049266523,0.027948544,-0.002723318,7.84E-05,159638.7254
520655,4068480,-69.6638,36.7619,-74.7686,VIR,0.030822961,0.02023571,-0.002704281,7.85E-05,96444.37231
522507,4068480,-78.0212,36.7618,-74.7478,VIR,0.007230898,0.005840408,-0.003086642,7.91E-05,14214.40008
524359,4068480,-85.3314,36.7618,-74.7271,VIR,0.001819893,0.001617829,-0.003030493,8.02E-05,0
526211,4068480,-91.6505,36.7617,-74.7063,VIR,0.000527941,0.000544785,-0.002955096,8.19E-05,0
513247,4070330,-46.3893,36.7787,-74.8515,NA,NA,NA,NA,NA,NA
528063,4068480,-98.6171,36.7617,-74.6856,NA,NA,NA,NA,NA,NA
515099,4070330,-50.9321,36.7787,-74.8308,VIR,0.023211588,0.014198342,-0.002973411,7.71E-05,69415.0043
516951,4070330,-53.0569,36.7786,-74.81,VIR,0.023487487,0.013645684,-0.00299467,7.60E-05,70288.39483
518803,4070330,-62.4846,36.7786,-74.7893,VIR,0.048331927,0.027034334,-0.002995382,7.56E-05,155499.9976
520655,4070330,-69.4449,36.7786,-74.7685,VIR,0.031279172,0.020181322,-0.002973801,7.56E-05,97084.70709
522507,4070330,-77.404,36.7785,-74.7478,VIR,0.007982485,0.006360896,-0.003337169,7.63E-05,15932.9882
524359,4070330,-85.0153,36.7785,-74.727,VIR,0.001894134,0.001672159,-0.003275774,7.75E-05,0
526211,4070330,-89.9964,36.7784,-74.7063,VIR,0.000726142,0.000699102,-0.003194579,7.93E-05,0
513247,4072190,-44.9459,36.7954,-74.8515,NA,NA,NA,NA,NA,NA
528063,4070330,-98.9321,36.7784,-74.6855,NA,NA,NA,NA,NA,NA
515099,4072190,-50,36.7954,-74.8308,VIR,0.0233964,0.01461191,-0.003250346,7.43E-05,69099.031
516951,4072190,-52,36.7953,-74.81,VIR,0.022635201,0.013374866,-0.003271704,7.33E-05,66414.93604
518803,4072190,-63.0832,36.7953,-74.7892,VIR,0.047545864,0.026322775,-0.003271052,7.29E-05,151858.3547
520655,4072190,-71.0891,36.7953,-74.7685,VIR,0.023820374,0.016044284,-0.003246795,7.30E-05,70565.40326
522507,4072190,-76,36.7952,-74.7477,VIR,0.01020814,0.007893226,-0.003590918,7.38E-05,22696.43428
524359,4072190,-83.0101,36.7952,-74.727,VIR,0.002693421,0.002329398,-0.003524439,7.50E-05,0
526211,4072190,-89.0117,36.7951,-74.7062,VIR,0.000871631,0.000813891,-0.003436224,7.69E-05,0
513247,4074040,-48.403,36.8121,-74.8515,NA,NA,NA,NA,NA,NA
528063,4072190,-94.9937,36.7951,-74.6854,NA,NA,NA,NA,NA,NA
515099,4074040,-52.5266,36.8121,-74.8307,VIR,0.022361207,0.012871994,-0.003530306,7.18E-05,64588.18161
516951,4074040,-50.4319,36.812,-74.81,VIR,0.022647267,0.013773429,-0.003551302,7.08E-05,65497.3275
518803,4074040,-62.0941,36.812,-74.7892,VIR,0.046441476,0.025226093,-0.003548995,7.04E-05,147117.0919
520655,4074040,-70.0774,36.812,-74.7684,VIR,0.027421685,0.017699755,-0.003521438,7.06E-05,81975.55115
522507,4074040,-78,36.8119,-74.7477,VIR,0.006878428,0.005452438,-0.003846919,7.14E-05,10397.78455
524359,4074040,-83.0653,36.8119,-74.7269,VIR,0.002618264,0.002254943,-0.003774243,7.27E-05,0
526211,4074040,-91.9948,36.8118,-74.7061,VIR,0.000467035,0.000485468,-0.003678855,7.46E-05,0
513247,4075890,-50.4572,36.8288,-74.8514,NA,NA,NA,NA,NA,NA
528063,4074040,-97.6848,36.8118,-74.6854,NA,NA,NA,NA,NA,NA
515099,4075890,-52.4783,36.8288,-74.8307,VIR,0.021938592,0.012504188,-0.003811429,6.95E-05,62174.43026
529915,4074040,-139.899,36.8117,-74.6646,NA,NA,NA,NA,NA,NA
516951,4075890,-56,36.8287,-74.8099,VIR,0.026923748,0.014556936,-0.003831924,6.85E-05,79202.74029
518803,4075890,-62.944,36.8287,-74.7891,VIR,0.045876301,0.024732871,-0.003827435,6.81E-05,144223.5715
