xUTM,yUTM,Depth,Latitude,Longitude,Zone,GamPredict,GamVar,KrigePredict,KrigeVar,FinalPredict
441236,4462120,-75.1565,40.3075,-69.6915,NA,NA,NA,NA,NA,NA
443088,4462120,-74.6058,40.3077,-69.6697,NA,NA,NA,NA,NA,NA
444940,4462120,-74.2319,40.3078,-69.648,NA,NA,NA,NA,NA,NA
446792,4462120,-73.921,40.3079,-69.6262,NA,NA,NA,NA,NA,NA
448644,4462120,-73.6895,40.308,-69.6044,NA,NA,NA,NA,NA,NA
450496,4462120,-75.1566,40.3081,-69.5826,NA,NA,NA,NA,NA,NA
452348,4462120,-73.994,40.3082,-69.5608,NA,NA,NA,NA,NA,NA
454200,4462120,-75.0954,40.3083,-69.539,NA,NA,NA,NA,NA,NA
437532,4463970,-75.691,40.3239,-69.7353,NA,NA,NA,NA,NA,NA
439384,4463970,-74.6087,40.3241,-69.7135,NA,NA,NA,NA,NA,NA
441236,4463970,-73.7294,40.3242,-69.6917,NA,NA,NA,NA,NA,NA
443088,4463970,-72.8023,40.3243,-69.6699,NLS-West,0.377248917,0.349909897,0.013408221,0.00853829,1339916.478
444940,4463970,-72.7905,40.3245,-69.6481,NLS-West,0.393064103,0.355466036,0.013135599,0.008482013,1393225.984
446792,4463970,-72.5799,40.3246,-69.6263,NLS-West,0.415906071,0.36712016,0.012843681,0.008422999,1470570.487
448644,4463970,-71.6365,40.3247,-69.6045,NLS-West,0.446205913,0.384613753,-0.001801023,0.008361702,1524266.111
450496,4463970,-73.8704,40.3248,-69.5827,NLS-West,0.485247462,0.408421588,-0.00183019,0.008294681,1658074.836
452348,4463970,-73.1301,40.3249,-69.5609,NLS-West,0.534479992,0.439010229,-0.002394882,0.008225403,1825000.846
454200,4463970,-73.3501,40.325,-69.5391,NA,NA,NA,NA,NA,NA
435680,4465820,-74.5449,40.3405,-69.7573,NA,NA,NA,NA,NA,NA
437532,4465820,-74.313,40.3406,-69.7355,NA,NA,NA,NA,NA,NA
456052,4463970,-73.6259,40.3251,-69.5173,NA,NA,NA,NA,NA,NA
439384,4465820,-73.0038,40.3408,-69.7137,NLS-West,0.272054637,0.260904331,0.013919471,0.008610411,980863.7384
457904,4463970,-73.6098,40.3252,-69.4955,NA,NA,NA,NA,NA,NA
441236,4465820,-72.0427,40.3409,-69.6919,NLS-West,0.275059386,0.256401479,0.013700418,0.008558045,990418.4078
459756,4463970,-75.8582,40.3253,-69.4737,NA,NA,NA,NA,NA,NA
443088,4465820,-71.9099,40.341,-69.6701,NLS-West,0.281801564,0.255775585,0.013686974,0.008503056,1013497.319
461608,4463970,-76.2147,40.3254,-69.4519,NA,NA,NA,NA,NA,NA
444940,4465820,-71.6432,40.3411,-69.6483,NLS-West,0.29282018,0.259094495,0.013448594,0.008445695,1050472.492
463460,4463970,-75.9568,40.3255,-69.4301,NA,NA,NA,NA,NA,NA
446792,4465820,-71.2937,40.3413,-69.6265,NLS-West,0.308253028,0.266032706,0.013203347,0.008384892,1102564.507
465312,4463970,-77.3304,40.3256,-69.4083,NA,NA,NA,NA,NA,NA
448644,4465820,-70.511,40.3414,-69.6047,NLS-West,0.330065598,0.277910796,0.012946152,0.008320373,1176497.373
467164,4463970,-77.6326,40.3256,-69.3865,NA,NA,NA,NA,NA,NA
450496,4465820,-72.1745,40.3415,-69.5829,NLS-West,0.358829008,0.294647839,-0.001288086,0.008252178,1226331.038
469016,4463970,-79.9347,40.3257,-69.3647,NA,NA,NA,NA,NA,NA
452348,4465820,-71.0111,40.3416,-69.5611,NLS-West,0.395849387,0.316712578,-0.001740924,0.008179265,1351754.193
470868,4463970,-80.9171,40.3258,-69.3429,NA,NA,NA,NA,NA,NA
454200,4465820,-72.205,40.3417,-69.5393,NLS-West,0.442593144,0.344519851,-0.001658714,0.008094729,1512362.766
435680,4467680,-73.8784,40.3572,-69.7575,NA,NA,NA,NA,NA,NA
472720,4463970,-81.379,40.3258,-69.3211,NA,NA,NA,NA,NA,NA
437532,4467680,-73.196,40.3573,-69.7357,NLS-West,0.206775488,0.200623648,0.01199916,0.008627217,750376.0408
456052,4465820,-72.1731,40.3418,-69.5174,NLS-West,0.50083875,0.378390331,-0.001561835,0.007997975,1712471.886
474572,4463970,-80.9533,40.3259,-69.2993,NA,NA,NA,NA,NA,NA
439384,4467680,-72.0571,40.3574,-69.7139,NLS-West,0.204975591,0.192969248,0.011845651,0.008576194,743676.0465
457904,4465820,-72.1249,40.3419,-69.4956,NLS-South-Deep,0.57122253,0.417491576,-0.001444001,0.007884082,1954285.656
476424,4463970,-84.1141,40.3259,-69.2775,NA,NA,NA,NA,NA,NA
441236,4467680,-71.0707,40.3576,-69.6921,NLS-West,0.205401309,0.188008682,0.013956445,0.008525167,752376.0372
459756,4465820,-73.3708,40.342,-69.4738,NLS-South-Deep,0.654219384,0.460036855,-0.001219763,0.007747523,2239726.012
478276,4463970,-83.7505,40.326,-69.2557,NA,NA,NA,NA,NA,NA
443088,4467680,-70.5709,40.3577,-69.6702,NLS-West,0.209079823,0.186350343,0.013759276,0.008469474,764316.718
461608,4465820,-74.1932,40.3421,-69.452,NLS-South-Deep,0.747995694,0.501292272,-0.001530701,0.007639195,2560303.266
480128,4463970,-83.4711,40.326,-69.2339,NA,NA,NA,NA,NA,NA
