UTM-X,UTM-Y,Depth,Lat,Lon
522724,4.46E+06,98.6954,40.3093,-68.7326
456052,4.47E+06,69.8384,40.3752,-69.5177
437532,4.47E+06,72.0334,40.3907,-69.736
491240,4.47E+06,88.7851,40.3429,-69.1031
507908,4.46E+06,88.7843,40.3262,-68.9069
474572,4.47E+06,78.8846,40.3593,-69.2995
439384,4.47E+06,71.1733,40.3908,-69.7142
457904,4.47E+06,70.1348,40.3753,-69.4959
493092,4.47E+06,88.1588,40.3429,-69.0813
509760,4.46E+06,89.3981,40.3262,-68.8851
476424,4.47E+06,80.4943,40.3593,-69.2777
441236,4.47E+06,70.2174,40.3909,-69.6924
459756,4.47E+06,71.1037,40.3754,-69.4741
494944,4.47E+06,87.9504,40.3429,-69.0595
511612,4.46E+06,89.9664,40.3262,-68.8633
478276,4.47E+06,81.8562,40.3594,-69.2559
443088,4.47E+06,69.1149,40.3911,-69.6706
461608,4.47E+06,72.858,40.3754,-69.4523
496796,4.47E+06,86.6089,40.343,-69.0377
480128,4.47E+06,81.6308,40.3594,-69.234
513464,4.46E+06,89.7516,40.3262,-68.8415
444940,4.47E+06,68.2236,40.3912,-69.6488
463460,4.47E+06,73.1934,40.3755,-69.4304
498648,4.47E+06,86.4633,40.343,-69.0159
481980,4.47E+06,81.8752,40.3595,-69.2122
515316,4.46E+06,91.6871,40.3261,-68.8197
446792,4.47E+06,67.9398,40.3913,-69.6269
465312,4.47E+06,74.242,40.3756,-69.4086
500500,4.47E+06,86.6061,40.343,-68.9941
483832,4.47E+06,83.4779,40.3595,-69.1904
517168,4.46E+06,91.8686,40.3261,-68.7979
448644,4.47E+06,66.442,40.3914,-69.6051
467164,4.47E+06,74.1198,40.3757,-69.3868
502352,4.47E+06,87.4315,40.343,-68.9723
485684,4.47E+06,84.7361,40.3595,-69.1686
450496,4.47E+06,67.8721,40.3915,-69.5833
519020,4.46E+06,90.6937,40.3261,-68.7761
469016,4.47E+06,77.9838,40.3758,-69.365
504204,4.47E+06,86.1946,40.343,-68.9505
487536,4.47E+06,86.2564,40.3596,-69.1468
452348,4.47E+06,67.3833,40.3917,-69.5615
433828,4.47E+06,74.3972,40.4071,-69.7799
520872,4.46E+06,92.4818,40.326,-68.7543
470868,4.47E+06,78.0443,40.3758,-69.3432
454200,4.47E+06,68.0373,40.3918,-69.5397
435680,4.47E+06,73.1621,40.4072,-69.758
489388,4.47E+06,86.2602,40.3596,-69.125
506056,4.47E+06,86.335,40.3429,-68.9287
472720,4.47E+06,79.4774,40.3759,-69.3214
522724,4.46E+06,96.9259,40.326,-68.7325
456052,4.47E+06,66.4973,40.3919,-69.5178
437532,4.47E+06,72.4387,40.4074,-69.7362
491240,4.47E+06,86.2748,40.3596,-69.1032
507908,4.47E+06,88.3476,40.3429,-68.9069
474572,4.47E+06,79.7465,40.3759,-69.2995
524576,4.46E+06,97.3016,40.3259,-68.7107
439384,4.47E+06,71.4299,40.4075,-69.7144
457904,4.47E+06,68.2306,40.392,-69.496
493092,4.47E+06,87.98,40.3596,-69.0814
509760,4.47E+06,87.8247,40.3429,-68.8851
