UTM_X,UTM_Y,DEPTH,LAT,LON,STRATUM,ZONE,REGION
441236,4462120,75.1565,40.30752674,-69.69153738,6480,NA,NA
443088,4462120,74.6058,40.30765496,-69.6697444,6480,NA,NA
444940,4462120,74.2319,40.30777907,-69.64795127,6480,NA,NA
446792,4462120,73.921,40.30789908,-69.62615802,6480,NA,NA
448644,4462120,73.6895,40.30801499,-69.60436463,6480,NA,NA
450496,4462120,75.1566,40.30812678,-69.58257112,6480,NA,NA
452348,4462120,73.994,40.30823448,-69.56077749,6480,NA,NA
454200,4462120,75.0954,40.30833806,-69.53898375,6480,NA,NA
437532,4463970,75.691,40.32392384,-69.73530369,6480,NA,NA
439384,4463970,74.6087,40.32406035,-69.71350563,6480,NA,NA
441236,4463970,73.7294,40.32419275,-69.69170743,6480,NA,NA
443088,4463970,72.8023,40.32432104,-69.66990909,6470,NLS-West,GSC_S1
444940,4463970,72.7905,40.32444523,-69.64811061,6470,NLS-West,GSC_S1
446792,4463970,72.5799,40.32456531,-69.62631199,6470,NLS-West,GSC_S1
448644,4463970,71.6365,40.32468128,-69.60451325,6470,NLS-West,GSC_S1
450496,4463970,73.8704,40.32479314,-69.58271438,6470,NLS-West,GSC_S1
452348,4463970,73.1301,40.3249009,-69.56091539,6470,NLS-West,GSC_S1
454200,4463970,73.3501,40.32500455,-69.53911629,6480,NA,NA
435680,4465820,74.5449,40.34044894,-69.75728787,6480,NA,NA
437532,4465820,74.313,40.34058964,-69.7354846,6480,NA,NA
456052,4463970,73.6259,40.32510409,-69.51731707,6480,NA,NA
439384,4465820,73.0038,40.34072623,-69.71368118,6470,NLS-West,GSC_S1
457904,4463970,73.6098,40.32519952,-69.49551775,6480,NA,NA
441236,4465820,72.0427,40.34085871,-69.69187762,6470,NLS-West,GSC_S1
459756,4463970,75.8582,40.32529085,-69.47371833,6480,NA,NA
443088,4465820,71.9099,40.34098707,-69.67007391,6470,NLS-West,GSC_S1
461608,4463970,76.2147,40.32537806,-69.45191881,6480,NA,NA
444940,4465820,71.6432,40.34111133,-69.64827007,6470,NLS-West,GSC_S1
463460,4463970,75.9568,40.32546117,-69.4301192,6480,NA,NA
446792,4465820,71.2937,40.34123148,-69.62646609,6470,NLS-West,GSC_S1
465312,4463970,77.3304,40.32554018,-69.4083195,6480,NA,NA
448644,4465820,70.511,40.34134752,-69.60466199,6470,NLS-West,GSC_S1
467164,4463970,77.6326,40.32561507,-69.38651971,6480,NA,NA
450496,4465820,72.1745,40.34145945,-69.58285776,6470,NLS-West,GSC_S1
469016,4463970,79.9347,40.32568586,-69.36471985,6480,NA,NA
