"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2018.5, 421277.905799, 4489755.373037, 63.576741, 0.000000e+00
2018.5, 421278.565541, 4487524.728719, 65.892266, 0.000000e+00
2018.5, 421281.053683, 4488846.180194, 64.332798, 0.000000e+00
2018.5, 421283.506976, 4491292.895974, 62.352148, 4.289416e-01
2018.5, 421288.176216, 4488165.929282, 65.127209, 0.000000e+00
2018.5, 421288.805449, 4490552.355304, 62.932858, 4.116106e-01
2018.5, 421293.282475, 4491946.651029, 61.771672, 0.000000e+00
2018.5, 421304.583331, 4492658.186252, 61.125551, 0.000000e+00
2018.5, 421304.998483, 4495007.852813, 59.347023, 0.000000e+00
2018.5, 421311.269750, 4494077.824817, 60.021497, 0.000000e+00
2018.5, 421317.210222, 4493499.159823, 60.677255, 0.000000e+00
2018.5, 421321.064294, 4495723.624940, 58.641261, 0.000000e+00
2018.5, 421330.568298, 4496192.140604, 58.370000, 0.000000e+00
2018.5, 421692.189075, 4478857.667300, 74.080319, 0.000000e+00
2018.5, 422358.028733, 4478881.395776, 74.227283, 0.000000e+00
2018.5, 423100.244167, 4478943.726042, 74.199283, 0.000000e+00
2018.5, 423927.962229, 4479006.905828, 74.076477, 0.000000e+00
2018.5, 424397.705131, 4479405.298374, 73.754804, 0.000000e+00
2018.5, 424399.283678, 4480089.825333, 73.089383, 0.000000e+00
2018.5, 424412.986521, 4480801.895842, 72.579436, 0.000000e+00
2018.5, 424414.811013, 4481595.945132, 71.980023, 0.000000e+00
2018.5, 424425.815478, 4483952.778298, 70.070719, 0.000000e+00
2018.5, 424428.481551, 4483034.909488, 70.779902, 0.000000e+00
2018.5, 424430.045757, 4482474.289966, 71.593756, 0.000000e+00
2018.5, 424437.536432, 4484688.897756, 69.302398, 0.000000e+00
2018.5, 424460.125470, 4485531.122028, 68.594909, 0.000000e+00
2018.5, 424462.667891, 4486053.092693, 67.986294, 0.000000e+00
2018.5, 424469.121233, 4486932.437992, 67.113308, 0.000000e+00
2018.5, 424480.593259, 4487513.822489, 66.453633, 0.000000e+00
2018.5, 424490.000705, 4488338.377868, 65.722968, 1.066076e+01
2018.5, 424497.122518, 4489047.440704, 64.869812, 1.821059e+01
2018.5, 424507.707379, 4489800.081162, 64.095789, 1.498782e+01
2018.5, 424518.665569, 4490548.588607, 63.291013, 1.453423e+01
2018.5, 424532.111126, 4491340.148263, 62.430424, 1.884449e+00
2018.5, 424536.195637, 4492046.614430, 61.897659, 0.000000e+00
2018.5, 424546.429095, 4492812.844728, 61.503683, 0.000000e+00
2018.5, 424555.392988, 4493572.292690, 60.986084, 0.000000e+00
2018.5, 424562.261406, 4495850.510357, 59.264795, 0.000000e+00
2018.5, 424563.959899, 4496734.124659, 58.659597, 0.000000e+00
2018.5, 424574.860632, 4494331.293227, 60.387061, 0.000000e+00
2018.5, 424575.134063, 4497328.282866, 57.901151, 0.000000e+00
2018.5, 424576.636361, 4494954.884343, 59.913959, 0.000000e+00
2018.5, 424589.025648, 4498080.943874, 56.610096, 0.000000e+00
2018.5, 424608.732498, 4499703.660080, 55.060425, 0.000000e+00
2018.5, 424610.915628, 4498879.884596, 55.887992, 0.000000e+00
2018.5, 424623.025240, 4500431.725289, 54.712362, 0.000000e+00
2018.5, 424632.323830, 4501145.651028, 53.728132, 0.000000e+00
2018.5, 424640.663474, 4501814.328882, 52.672466, 0.000000e+00
2018.5, 424666.416435, 4502606.271757, 52.090772, 0.000000e+00
2018.5, 424670.916607, 4503372.220863, 49.358287, 0.000000e+00
2018.5, 424671.482305, 4504056.654679, 49.184488, 0.000000e+00
2018.5, 424672.474874, 4504873.656606, 48.656476, 0.000000e+00
2018.5, 424690.397338, 4505585.086119, 48.471378, 0.000000e+00
2018.5, 425223.560070, 4505836.144799, 48.404807, 0.000000e+00
2018.5, 426006.846959, 4505809.984235, 47.828269, 0.000000e+00
2018.5, 426606.397605, 4505754.145158, 47.345290, 0.000000e+00
2018.5, 426834.607944, 4622325.542379, 23.975659, 0.000000e+00
2018.5, 427286.113815, 4486874.202981, 67.245245, 3.959565e-01
2018.5, 427291.632693, 4485400.427045, 68.439262, 0.000000e+00
2018.5, 427294.310822, 4493014.091600, 61.280373, 0.000000e+00
2018.5, 427298.391302, 4486179.593944, 67.840207, 0.000000e+00
2018.5, 427303.285412, 4487562.886309, 66.609851, 1.107391e+01
2018.5, 427305.669494, 4492161.716216, 62.309640, 0.000000e+00
2018.5, 427308.757514, 4489163.593538, 65.281231, 2.254192e+01
2018.5, 427319.028304, 4493625.094090, 60.867573, 0.000000e+00
2018.5, 427319.799466, 4488352.550635, 65.893693, 1.141353e+01
2018.5, 427337.446708, 4489934.883744, 64.416325, 2.213254e+01
2018.5, 427351.916888, 4505607.597260, 48.229124, 0.000000e+00
2018.5, 427353.943919, 4495945.650811, 58.834349, 0.000000e+00
2018.5, 427354.470370, 4495147.926370, 60.089895, 0.000000e+00
2018.5, 427354.678028, 4491367.625535, 63.035273, 6.027347e+00
2018.5, 427356.730091, 4490688.799476, 63.792700, 1.131927e+01
2018.5, 427369.741105, 4622115.140475, 26.468738, 0.000000e+00
2018.5, 427377.168910, 4496674.832468, 57.498595, 0.000000e+00
2018.5, 427380.180187, 4494493.105228, 60.405446, 0.000000e+00
2018.5, 427387.800708, 4497426.480363, 57.178453, 0.000000e+00
2018.5, 427389.714258, 4498149.755564, 56.152699, 0.000000e+00
2018.5, 427405.500955, 4498804.800557, 55.552218, 0.000000e+00
2018.5, 427424.566524, 4499662.584758, 55.241304, 0.000000e+00
2018.5, 427428.946905, 4502617.678452, 51.663450, 0.000000e+00
2018.5, 427430.217878, 4500486.917197, 54.330997, 0.000000e+00
2018.5, 427434.468870, 4501917.396125, 52.884319, 0.000000e+00
2018.5, 427434.863567, 4501158.434078, 53.614976, 0.000000e+00
