"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
2019.41, 551498.008195, 4474063.274052, 106.000000, 1.361592e-03
2019.41, 507870.248146, 4480683.680396, 76.000000, 2.246077e-04
2019.41, 522844.226066, 4488839.714581, 69.000000, 6.449660e-03
2019.41, 551645.198818, 4485919.677155, 96.000000, 3.216298e-03
2019.41, 515768.234324, 4491640.849074, 105.000000, 1.402963e-03
2019.41, 520497.723543, 4492318.365980, 66.000000, 2.953325e-03
2019.41, 504737.760564, 4494800.326112, 71.000000, 2.388141e-03
2019.41, 564295.552736, 4487560.901490, 100.000000, 0.000000e+00
2019.41, 577268.794747, 4486163.007558, 112.000000, 0.000000e+00
2019.41, 571479.273137, 4489180.405951, 100.000000, 9.038202e-04
2019.41, 503042.191618, 4503379.942320, 69.000000, 3.261572e-02
2019.41, 516242.922646, 4502941.963160, 67.000000, 1.932665e-02
2019.41, 565923.897212, 4503560.862244, 79.000000, 7.164577e-02
2019.41, 526073.517860, 4516801.318660, 62.000000, 0.000000e+00
2019.42, 477348.558150, 4524172.047004, 56.000000, 4.977733e-03
2019.42, 488225.835331, 4523003.299835, 73.000000, 5.462126e-03
2019.41, 520377.343947, 4520690.877699, 66.000000, 1.910507e-03
2019.41, 610203.177534, 4512268.998758, 72.000000, 7.168677e-02
2019.42, 488302.085286, 4528564.657062, 71.000000, 4.088015e-03
2019.42, 484252.965266, 4529404.760479, 68.000000, 3.524743e-03
2019.41, 503183.458967, 4528533.857824, 77.000000, 1.973103e-02
2019.41, 591069.807744, 4518559.544307, 72.000000, 9.235590e-03
2019.42, 478252.221005, 4536247.120967, 66.000000, 9.780670e-03
2019.41, 510515.790264, 4536599.903283, 73.000000, 4.810520e-03
2019.42, 484621.709444, 4540627.031653, 57.000000, 1.376546e-03
2019.41, 616614.631065, 4525469.674941, 72.000000, 3.456537e-01
2019.42, 479505.647806, 4542226.989237, 61.000000, 3.042456e-02
