1975,719.611474,1044.098678,1558
1976,1182.198184,2489.518772,3300
1977,2536.588443,4087.899718,2591
1978,2688.064289,3890.976898,4196
1979,3541.184642,4160.815358,2888
1980,2147.955247,3113.044753,1975
1981,2270.043675,4042.956325,731
1982,1645.799892,4137.200108,1610
1983,1563.247714,2579.752286,3109
1984,683.805663,1634.194337,3675
1985,1294.33,1681.67,3276
1986,1994.53,2521.47,3359
1987,2635.29,2283.71,7803
1988,3147.55,2975.45,6178
1989,3319.99,2479.01,7973
1990,7141.59,2956.41,6435
1991,5940.24,3441.76,7011
1992,4687.79,3674.21,4955
1993,1943.11,1777.89,2778
1994,429.84,789.16,5965
1995,0,1040,6591
1996,0,2201,5124
1997,0,2452,3082
1998,50,2121,2981
1999,2719.79,2538.21,4589
2000,2346.47,2697.53,9351
2001,507,4501,15703
2002,0,6043,17443
2003,0,4940,20276
2004,2663.59,2734.41,23533
2005,6540.48,3399.52,15566
2006,10036.12,7770.88,8772
2007,5217,4625,16634
2008,2125,4640,17388
2009,1547,5148,18808
2010,2780,3339,19561
2011,5088,3154,17748
2012,6154,7320,11533
2013,2029,9538.3,5935
2014,1742,3519.4,9341
2015,136,4955.1,10409
2016,131,3806.5,13328
2017,5165,1759.5,15465
2018,10728.5,5569.5,9857
2019,10348,6483,10315
