"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
1993.61, 450489.059471, 4470464.470217, 69.000000, 0.000000e+00
1993.61, 456174.588664, 4475979.250610, 67.000000, 0.000000e+00
1993.61, 423720.122486, 4481790.006598, 66.000000, 0.000000e+00
1993.61, 427975.802889, 4483601.713415, 70.000000, 0.000000e+00
1993.61, 512716.363255, 4479569.251038, 74.000000, 0.000000e+00
1993.61, 546649.861104, 4475996.303105, 94.000000, 0.000000e+00
1993.61, 518357.279591, 4485130.985015, 71.000000, 0.000000e+00
1993.61, 461916.907108, 4492598.377768, 52.000000, 0.000000e+00
1993.61, 485888.862244, 4490671.813915, 73.000000, 0.000000e+00
1993.61, 563566.437426, 4481671.150610, 106.000000, 0.000000e+00
1993.61, 515520.182840, 4488820.887523, 69.000000, 5.828617e-04
1993.61, 504232.493978, 4490659.664931, 74.000000, 0.000000e+00
1993.61, 549413.135170, 4485271.843259, 93.000000, 5.947710e-04
1993.61, 428172.222039, 4503948.655719, 50.000000, 0.000000e+00
1993.61, 476048.432606, 4499943.499071, 59.000000, 0.000000e+00
1993.61, 460552.695834, 4501863.368015, 49.000000, 0.000000e+00
1993.61, 442259.030957, 4503825.776199, 49.000000, 0.000000e+00
1993.62, 569133.921300, 4490978.908359, 97.000000, 0.000000e+00
1993.61, 526782.044794, 4498099.383653, 66.000000, 0.000000e+00
1993.62, 595934.684519, 4491275.533741, 95.000000, 0.000000e+00
1993.62, 556380.288381, 4498264.800780, 78.000000, 0.000000e+00
1993.61, 540860.594250, 4500017.189988, 64.000000, 0.000000e+00
1993.62, 580358.076656, 4496642.254838, 92.000000, 0.000000e+00
1993.61, 529576.006648, 4503660.213623, 64.000000, 0.000000e+00
1993.61, 498589.507981, 4507308.983514, 70.000000, 3.427497e-03
1993.61, 521120.435553, 4505485.132298, 65.000000, 1.163544e-03
1993.62, 564804.660310, 4502041.233972, 79.000000, 1.181638e-03
1993.62, 624096.521933, 4495388.596605, 100.000000, 0.000000e+00
1993.62, 605708.679293, 4498802.164389, 77.000000, 0.000000e+00
1993.62, 632557.772643, 4495534.392141, 102.000000, 1.201326e-03
1993.61, 518293.495732, 4511027.875618, 67.000000, 0.000000e+00
1993.61, 481724.796004, 4518431.937190, 65.000000, 3.419650e-03
1993.62, 576015.012291, 4507698.314789, 78.000000, 0.000000e+00
1993.61, 490163.133512, 4522112.408777, 72.000000, 2.075329e-01
1993.62, 594271.035303, 4511605.009378, 72.000000, 0.000000e+00
