"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
1981.45, 510570.753341, 3939590.353306, 55.000000, 0.000000e+00
1981.45, 504526.209258, 3945130.621835, 52.000000, 0.000000e+00
1981.45, 509037.356217, 3959918.301982, 81.000000, 6.291668e-04
1981.45, 504513.011275, 3971005.997850, 58.000000, 2.433047e-03
1981.45, 518002.751247, 3995058.520753, 113.000000, 0.000000e+00
1981.45, 507471.133295, 4026466.610857, 38.000000, 0.000000e+00
1981.45, 508953.604246, 4041265.163924, 34.000000, 0.000000e+00
1981.45, 520888.772587, 4041285.821119, 85.000000, 0.000000e+00
1981.45, 519398.326190, 4043123.696430, 73.000000, 0.000000e+00
1981.45, 517899.540955, 4044972.905871, 52.000000, 1.224347e-03
1981.45, 443418.287739, 4059927.559153, 32.000000, 0.000000e+00
1981.45, 459795.205540, 4059835.067872, 27.000000, 0.000000e+00
1981.45, 514900.022360, 4056059.817322, 47.000000, 6.106720e-04
1981.45, 516369.628705, 4063461.386278, 50.000000, 5.896320e-04
1981.45, 449456.250407, 4074688.412267, 32.000000, 0.000000e+00
1981.45, 459951.900173, 4093114.398834, 38.000000, 0.000000e+00
1981.45, 517810.755292, 4087491.843195, 58.000000, 2.367499e-03
1981.45, 508895.661690, 4096729.632019, 49.000000, 7.661587e-03
1981.45, 492591.526295, 4098569.701646, 34.000000, 1.188278e-03
1981.45, 535582.722041, 4096799.737686, 97.000000, 6.203125e-04
1981.45, 519238.952732, 4113387.183672, 61.000000, 1.139794e-03
1981.45, 502953.826121, 4120754.127571, 33.000000, 1.544025e-02
1981.45, 480807.609285, 4133722.176219, 28.000000, 0.000000e+00
1981.45, 500000.000000, 4133700.157203, 37.000000, 1.189982e-03
1981.45, 471981.945121, 4142988.577183, 28.000000, 0.000000e+00
1981.45, 535418.861206, 4135627.891418, 78.000000, 0.000000e+00
1981.45, 528024.241278, 4141146.945331, 50.000000, 0.000000e+00
1981.45, 526528.825277, 4146689.210316, 56.000000, 1.182625e-03
1981.45, 498524.214565, 4152194.217507, 33.000000, 0.000000e+00
1981.45, 535363.977431, 4148563.722118, 63.000000, 0.000000e+00
1981.45, 527974.497180, 4155935.616936, 50.000000, 4.127425e-03
1981.45, 544175.549228, 4154153.172855, 64.000000, 5.706807e-04
1981.45, 542690.553373, 4155998.231721, 62.000000, 1.140316e-03
1981.45, 511758.789922, 4166991.305353, 28.000000, 0.000000e+00
1981.45, 532354.990153, 4165193.384633, 58.000000, 5.691155e-04
1981.45, 549990.491858, 4167133.965271, 66.000000, 1.710210e-03
1981.45, 542585.786843, 4176334.692920, 60.000000, 6.822097e-03
1981.45, 561680.424560, 4176455.366423, 91.000000, 0.000000e+00
1981.45, 545477.716891, 4185603.554535, 59.000000, 5.682485e-04
1981.45, 533728.813692, 4187388.771971, 51.000000, 0.000000e+00
1981.45, 554279.366112, 4185656.933090, 66.000000, 1.710210e-03
1981.45, 539589.237819, 4189267.815780, 54.000000, 5.694813e-03
1981.45, 568927.566773, 4187608.575061, 96.000000, 0.000000e+00
1981.45, 552762.005676, 4193036.684340, 57.000000, 1.135460e-03
1981.45, 565922.875481, 4196837.927327, 70.000000, 0.000000e+00
1981.45, 533667.989135, 4202189.609086, 36.000000, 5.948587e-04
1981.45, 526345.199795, 4204004.570397, 27.000000, 0.000000e+00
1981.46, 552678.632244, 4205984.838080, 54.000000, 5.694812e-04
1981.45, 513151.699478, 4216920.944975, 25.000000, 0.000000e+00
1981.46, 565803.719072, 4211628.107878, 56.000000, 0.000000e+00
1981.46, 574493.097994, 4220946.318465, 67.000000, 2.281325e-03
1981.46, 567162.028687, 4224588.687789, 44.000000, 2.834440e-03
1981.46, 577358.681738, 4226521.490456, 63.000000, 2.277152e-03
1981.45, 517495.690536, 4235425.523945, 39.000000, 0.000000e+00
1981.46, 589042.016097, 4226641.253438, 73.000000, 6.862840e-03
1981.45, 562696.161973, 4235649.472180, 46.000000, 0.000000e+00
1981.46, 583105.386702, 4235833.329111, 67.000000, 5.703312e-04
1981.46, 574323.327432, 4239443.196317, 55.000000, 1.701638e-03
1981.46, 569935.258614, 4241257.216339, 52.000000, 0.000000e+00
1981.46, 562624.487283, 4244892.436009, 47.000000, 0.000000e+00
1981.45, 539302.366211, 4248440.176389, 25.000000, 0.000000e+00
