"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2016.5, 686213.626808, 4353114.881540, 74.865371, 4.090398e-02
2016.5, 686318.095799, 4372035.256363, 60.833122, 2.807445e-01
2016.5, 686526.533738, 4353813.872818, 75.511680, 0.000000e+00
2016.5, 686793.704488, 4420341.725351, 54.655529, 9.363077e-02
2016.5, 686837.187768, 4402124.041191, 68.935115, 5.428174e-02
2016.5, 686847.491250, 4354532.352911, 76.362518, 0.000000e+00
2016.5, 686930.767035, 4453184.072669, 53.868677, 0.000000e+00
2016.5, 687027.442061, 4371832.626208, 61.229463, 3.685400e-01
2016.5, 687133.860057, 4355229.534128, 76.162029, 0.000000e+00
2016.5, 687422.070511, 4355927.606805, 76.913704, 0.000000e+00
2016.5, 687531.318406, 4420222.560417, 54.995575, 9.680495e-02
2016.5, 687578.708962, 4452963.644769, 54.850845, 3.556125e-02
2016.5, 687612.122601, 4402042.861698, 67.918642, 0.000000e+00
2016.5, 687680.605044, 4356604.385442, 76.339481, 0.000000e+00
2016.5, 687781.777149, 4371623.098565, 61.396643, 5.926360e-01
2016.5, 687922.113709, 4357326.532206, 75.214609, 0.000000e+00
2016.5, 688141.332418, 4358006.591323, 74.856102, 0.000000e+00
2016.5, 688256.621737, 4420112.339309, 55.804004, 8.510964e-02
2016.5, 688287.772862, 4401968.429128, 67.936542, 0.000000e+00
2016.5, 688361.397390, 4452683.081197, 54.541622, 0.000000e+00
2016.5, 688405.169843, 4358738.619467, 75.462810, 5.243674e-02
2016.5, 688493.723816, 4371435.357680, 60.992059, 5.831130e-01
2016.5, 688684.944542, 4359444.446176, 75.324764, 4.729787e-02
2016.5, 688938.803802, 4360099.080609, 73.855292, 0.000000e+00
2016.5, 688960.354700, 4452463.422664, 55.021513, 0.000000e+00
2016.5, 689005.332222, 4419969.178190, 56.343513, 8.976943e-02
2016.5, 689063.863815, 4401882.127708, 67.630535, 0.000000e+00
2016.5, 689208.988743, 4360812.969732, 73.793757, 0.000000e+00
2016.5, 689288.514984, 4371228.515679, 63.474644, 2.777039e-01
2016.5, 689484.049846, 4361532.857325, 74.505333, 4.797267e-02
